"user_supplied_name","submitted_name","data_source_title","score","matched_name2"
"ambystoma_maculatum","Ambystoma_maculatum","Catalogue of Life",0.988,"Ambystoma maculatum"
"ambystoma_mexicanum","Ambystoma_mexicanum","Catalogue of Life",0.988,"Ambystoma mexicanum"
"ambystoma_opacum","Ambystoma_opacum","Catalogue of Life",0.988,"Ambystoma opacum"
"ambystoma_talpoideum","Ambystoma_talpoideum","Catalogue of Life",0.988,"Ambystoma talpoideum"
"ambystoma_texanum","Ambystoma_texanum","Catalogue of Life",0.988,"Ambystoma texanum"
"ambystoma_tigrinum","Ambystoma_tigrinum","Catalogue of Life",0.988,"Ambystoma tigrinum"
"ameiurus_melas","Ameiurus_melas","Catalogue of Life",0.988,"Ameiurus melas"
"ameiurus_natalis","Ameiurus_natalis","Catalogue of Life",0.988,"Ameiurus natalis"
"ameiurus_nebulosus","Ameiurus_nebulosus","Catalogue of Life",0.988,"Ameiurus nebulosus"
"ameiva_ameiva","Ameiva_ameiva","Catalogue of Life",0.988,"Ameiva ameiva"
"ametrida_centurio","Ametrida_centurio","Catalogue of Life",0.988,"Ametrida centurio"
"amia_calva","Amia_calva","Catalogue of Life",0.988,"Amia calva"
"ammocrypta_clara","Ammocrypta_clara","Catalogue of Life",0.988,"Ammocrypta clara"
"ammodorcas_clarkei","Ammodorcas_clarkei","Catalogue of Life",0.988,"Ammodorcas clarkei"
"ammodramus_henslowii","Ammodramus_henslowii","Catalogue of Life",0.988,"Ammodramus henslowii"
"ammodramus_nelsoni","Ammodramus_nelsoni","Catalogue of Life",0.988,"Ammodramus nelsoni"
"ammodramus_savannarum","Ammodramus_savannarum","Catalogue of Life",0.988,"Ammodramus savannarum"
"ammophila_procera","Ammophila_procera","Catalogue of Life",0.988,"Ammophila procera"
"ammospermophilus_harrisii","Ammospermophilus_harrisii","Catalogue of Life",0.988,"Ammospermophilus harrisii"
"ammospermophilus_interpres","Ammospermophilus_interpres","Catalogue of Life",0.988,"Ammospermophilus interpres"
"ammospermophilus_leucurus","Ammospermophilus_leucurus","Catalogue of Life",0.988,"Ammospermophilus leucurus"
"ammospermophilus_nelsoni","Ammospermophilus_nelsoni","Catalogue of Life",0.988,"Ammospermophilus nelsoni"
"ammotragus_lervia","Ammotragus_lervia","Catalogue of Life",0.988,"Ammotragus lervia"
"amorphochilus_schnablii","Amorphochilus_schnablii","Catalogue of Life",0.988,"Amorphochilus schnablii"
"amphilina_foliacea","Amphilina_foliacea","Catalogue of Life",0.988,"Amphilina foliacea"
"amphiprion_akindynos","Amphiprion_akindynos","Catalogue of Life",0.988,"Amphiprion akindynos"
"amphiprion_clarkii","Amphiprion_clarkii","Catalogue of Life",0.988,"Amphiprion clarkii"
"amphiprion_frenatus","Amphiprion_frenatus","Catalogue of Life",0.988,"Amphiprion frenatus"
"amphiprion_ocellaris","Amphiprion_ocellaris","Catalogue of Life",0.988,"Amphiprion ocellaris"
"amphiprion_percula","Amphiprion_percula","Catalogue of Life",0.988,"Amphiprion percula"
