"mentionned_species","canonical_name","gbif_id","status","match_type","accepted_species","accepted_gbif_id","order","family"
"cabassous_chacoensis","Cabassous chacoensis",2440810,"ACCEPTED","EXACT","Cabassous chacoensis",2440810,"Cingulata","Dasypodidae"
"cabassous_tatouay","Cabassous tatouay",2440811,"ACCEPTED","EXACT","Cabassous tatouay",2440811,"Cingulata","Dasypodidae"
"cabassous_unicinctus","Cabassous unicinctus",2440807,"ACCEPTED","EXACT","Cabassous unicinctus",2440807,"Cingulata","Dasypodidae"
"cacajao_calvus","Cacajao calvus",2436410,"ACCEPTED","EXACT","Cacajao calvus",2436410,"Primates","Pitheciidae"
"cacajao_melanocephalus","Cacajao melanocephalus",2436409,"ACCEPTED","EXACT","Cacajao melanocephalus",2436409,"Primates","Pitheciidae"
"cacatua_alba","Cacatua alba",2479870,"ACCEPTED","EXACT","Cacatua alba",2479870,"Psittaciformes","Psittacidae"
"cacatua_galerita","Cacatua galerita",2479888,"ACCEPTED","EXACT","Cacatua galerita",2479888,"Psittaciformes","Psittacidae"
"cacatua_leadbeateri","Cacatua leadbeateri",2479878,"ACCEPTED","EXACT","Cacatua leadbeateri",2479878,"Psittaciformes","Psittacidae"
"cacicus_cela","Cacicus cela",5229832,"ACCEPTED","EXACT","Cacicus cela",5229832,"Passeriformes","Icteridae"
"caenolestes_caniventer","Caenolestes caniventer",2433364,"ACCEPTED","EXACT","Caenolestes caniventer",2433364,"Paucituberculata","Caenolestidae"
"caenolestes_condorensis","Caenolestes condorensis",2433363,"ACCEPTED","EXACT","Caenolestes condorensis",2433363,"Paucituberculata","Caenolestidae"
"caenolestes_convelatus","Caenolestes convelatus",2433360,"ACCEPTED","EXACT","Caenolestes convelatus",2433360,"Paucituberculata","Caenolestidae"
"caenolestes_fuliginosus","Caenolestes fuliginosus",2433365,"ACCEPTED","EXACT","Caenolestes fuliginosus",2433365,"Paucituberculata","Caenolestidae"
"caiman_crocodilus","Caiman crocodilus",8953936,"ACCEPTED","EXACT","Caiman crocodilus",8953936,"Crocodylia","Alligatoridae"
"caiman_latirostris","Caiman latirostris",5846511,"ACCEPTED","EXACT","Caiman latirostris",5846511,"Crocodylia","Alligatoridae"
"cairina_moschata","Cairina moschata",9751099,"ACCEPTED","EXACT","Cairina moschata",9751099,"Anseriformes","Anatidae"
"calcarius_ornatus","Calcarius ornatus",2491677,"ACCEPTED","EXACT","Calcarius ornatus",2491677,"Passeriformes","Calcariidae"
"calcochloris_leucorhinus","Calcochloris leucorhinus",2432186,"ACCEPTED","EXACT","Calcochloris leucorhinus",2432186,"Afrosoricida","Chrysochloridae"
"calcochloris_obtusirostris","Calcochloris obtusirostris",2432190,"ACCEPTED","EXACT","Calcochloris obtusirostris",2432190,"Afrosoricida","Chrysochloridae"
"calcochloris_tytonis","Calcochloris tytonis",2432184,"ACCEPTED","EXACT","Calcochloris tytonis",2432184,"Afrosoricida","Chrysochloridae"
"calidris_alba","Calidris alba",2481748,"ACCEPTED","EXACT","Calidris alba",2481748,"Charadriiformes","Scolopacidae"
"calidris_alpina","Calidris alpina",2481759,"ACCEPTED","EXACT","Calidris alpina",2481759,"Charadriiformes","Scolopacidae"
"calidris_canutus_rufa","Calidris canutus rufa",6177952,"ACCEPTED","EXACT","Calidris canutus",2481765,"Charadriiformes","Scolopacidae"
"calidris_maritima","Calidris maritima",2481743,"ACCEPTED","EXACT","Calidris maritima",2481743,"Charadriiformes","Scolopacidae"
