"species","carnivore","carnivore_::_piscivore","carnivore_::_sanguivore","carnivore_::_insectivore","carnivore_::_molluscivore","carnivore_::_eats_other_marine_invertebrates","herbivore","herbivore_::_frugivore","herbivore_::_lignivore","herbivore_::_algivore","omnivore","planktivore","mycophage","detritivore","coprophage","birds","mammals","amphibians","reptiles","fish","eggs","blood","body_fluids","carrion","insects","terrestrial_non-insect_arthropods","mollusks","terrestrial_worms","aquatic_or_marine_worms","aquatic_crustaceans","echinoderms","cnidarians","other_marine_invertebrates","zooplankton","leaves","roots_and_tubers","wood,_bark,_or_stems","seeds,_grains,_and_nuts","fruit","nectar","pollen","flowers","sap_or_other_plant_fluids","bryophytes","lichens","algae","macroalgae","phytoplankton","fungus","detritus","dung","microbes","iucn_red_list","endothermic","ectothermic","heterothermic","homoiothermic","mass_-_average_-_kg","mass_-_adult_-_average_-_kg","mass_-_adult_-_female_-_average_-_kg","mass_-_adult_-_male_-_average_-_kg","mass_-_embryo_-_average_-_kg","mass_-_weanling_-_average_-_kg","mass_-_female_-_average_-_kg","mass_-_male_-_average_-_kg"
"Aconaemys fuscus","","",NA,"","","","YES","","YES","","","","","",NA,"","","","","","","","","","","","","","","","","","","","YES","YES","YES","YES","","","","","",NA,"","",NA,"","","","YES","","Least Concern","YES","","","YES",0.05,NA,NA,NA,NA,NA,NA,NA
"Aconaemys sagei","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Acridotheres tristis","","",NA,"","","","","","","","YES","","","",NA,"YES","YES","YES","YES","YES","YES","","","YES","YES","YES","","YES","YES","YES","","","","","","","","YES","YES","YES","","YES","",NA,"","",NA,"","","","","","Least Concern","YES","","","YES",0.1125,NA,NA,NA,NA,NA,NA,NA
"Acris crepitans","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","Least Concern","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA
"Acris gryllus","YES","",NA,"YES","","","","","","","","","","",NA,"","","","","","","","","","YES","YES","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","Least Concern","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Acrobates pygmaeus","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","Least Concern","YES","","","",0.013,NA,NA,NA,NA,NA,NA,NA
"Acrocephalus arundinaceus","YES","",NA,"YES","","","","","","","","","","",NA,"","","YES","","YES","","","","","YES","YES","YES","","","","","","","","","","","","YES","","","","",NA,"","",NA,"","","","","","Least Concern","YES","","","YES",0.036,NA,NA,NA,NA,NA,NA,NA
"Acrochordus arafurae","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","Least Concern","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Acrochordus granulatus","YES","YES",NA,"","","","","","","","","","","",NA,"","","","","YES","","","","","","","YES","","","YES","","","","","","","","","","","","","",NA,"","",NA,"","","","","","Least Concern","","","YES","",0.13,NA,NA,NA,NA,NA,NA,NA
"Acrochordus javanicus","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","Least Concern","","","","",6.5,NA,NA,NA,NA,NA,NA,NA
"Acropora cervicornis","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","Critically Endangered","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA
"Acropora millepora","","",NA,"","","","YES","","","","","YES","","",NA,"","","","","","","","","","","","","","","","","","","YES","","","","","","","","","",NA,"","",NA,"YES","","YES","","YES","Near Threatened","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Acropora palmata","","",NA,"","","","YES","","","","","YES","","",NA,"","","","","","","","","","","","","","","","","","","YES","","","","","","","","","YES",NA,"","",NA,"YES","","YES","","YES","Critically Endangered","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA
"Actias luna","","",NA,"","","","YES","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","YES","","","","","","","","",NA,"","",NA,"","","","","","Not Evaluated","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Actinia equina","YES","",NA,"YES","YES","YES","","","","","","","","",NA,"","","","","","","","","","","","YES","","","","","","YES","","","","","","","","","","",NA,"","",NA,"","","","","","No special status","","YES","YES","",0.0004,NA,NA,NA,NA,NA,NA,NA
"Actinonaias ligamentina","","",NA,"","","","","","","","","YES","","YES",NA,"","","","","","","","","","","","","","","","","","","YES","","","","","","","","","",NA,"","YES",NA,"YES","","YES","","YES","No special status","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Actitis hypoleucos","YES","",NA,"","","","","","","","","","","",NA,"","","YES","","YES","","","","","YES","YES","","YES","YES","YES","","","YES","","","","","YES","","","","","",NA,"","",NA,"","","","","","Least Concern","YES","","","YES",0.04,NA,NA,NA,NA,NA,NA,NA
"Actitis macularius","YES","",NA,"YES","YES","","","","","","","","","",NA,"","","YES","","YES","","","","YES","YES","YES","YES","YES","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","No special status","YES","","","",0.042,NA,NA,NA,NA,NA,NA,NA
"Adalia bipunctata","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","No special status","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA
"Addax nasomaculatus","","",NA,"","","","YES","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","YES","","YES","","","","","YES","",NA,"","",NA,"","","","","","Critically Endangered","YES","","","YES",92.5,NA,NA,NA,NA,NA,NA,NA
"Aechmophorus occidentalis","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","Least Concern","YES","","","",1.4,NA,NA,NA,NA,NA,NA,NA
"Aedes albopictus","","",NA,"","","","YES","","","","","","","",NA,"","","","","","","YES","","","","","","","","","","","","","","","","","","YES","","","",NA,"","",NA,"","","","","","Not Evaluated","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA
"Aedes triseriatus","","",NA,"","","","YES","","","","","","","",NA,"","","","","","","YES","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","YES","","YES","Not Evaluated","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
