"accepted_gbif_id","species","status","order","family","class","carnivore_vertebrate","carnivore_invertebrate","herbivore_plantseed","herbivore_fruitnect","diet_invertebrate","diet_vertebrate_endo","diet_vertebrate_ecto","diet_vertebrate_fish","diet_vertebrate_unk","diet_eggs","diet_scav","diet_plant","diet_seed","diet_fruit","diet_nect","diet_detritus","diet_dung","diet_microbes","omnivore","mycophage","detritivore","coprophage","stores_or_caches_food","filter_feeding","endothermic","ectothermic","heterothermic","homoiothermic","bilateral_symmetry","radial_symmetry","polymorphic","poisonous","venomous","bodymass_kg","mass_extreme_low_kg","mass_extreme_high_kg","mass_adult_average_kg","mass_adult_female_average_kg","mass_adult_male_average_kg","mass_embryo_average_kg","mass_weanling_average_kg","mass_female_average_kg","mass_male_average_kg","bodylength_m","length_extreme_low_m","length_extreme_high_m","length_adult_female_average_m","length_embryo_average_m","length_neonate_average_m","length_adult_average_m","length_adult_male_average_m","length_female_average_m","length_male_average_m","wingspan_average_m","wingspan_extreme_low_m","wingspan_extreme_high_m","basal_metabolic_rate"
2438258,"acomys_subspinosus","ACCEPTED","Rodentia","Muridae","mammalia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2438262,"acomys_wilsoni","ACCEPTED","Rodentia","Muridae","mammalia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2439653,"aconaemys_fuscus","ACCEPTED","Rodentia","Octodontidae","mammalia",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0.05,0.03,0.067,NA,NA,NA,NA,NA,NA,NA,0.12,0.1,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2439654,"aconaemys_sagei","ACCEPTED","Rodentia","Octodontidae","mammalia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2489005,"acridotheres_tristis","ACCEPTED","Passeriformes","Sturnidae","aves",0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0.1125,0.082,0.143,NA,NA,NA,NA,NA,NA,NA,0.245,0.23,0.26,NA,NA,NA,NA,NA,NA,NA,0.131,0.12,0.142,NA
2427616,"acris_crepitans","ACCEPTED","Anura","Hylidae","amphibia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2427618,"acris_gryllus","ACCEPTED","Anura","Hylidae","amphibia",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024,0.015,0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5219960,"acrobates_pygmaeus","ACCEPTED","Diprotodontia","Acrobatidae","mammalia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2493128,"acrocephalus_arundinaceus","ACCEPTED","Passeriformes","Acrocephalidae","aves",1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0.036,0.021,0.051,NA,NA,NA,NA,NA,NA,NA,0.195,0.19,0.2,NA,NA,NA,NA,NA,NA,NA,0.26,NA,NA,NA
2472756,"acrochordus_arafurae","ACCEPTED","Squamata","Acrochordidae","reptilia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2472757,"acrochordus_granulatus","ACCEPTED","Squamata","Acrochordidae","reptilia",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.13,0.069,0.191,NA,NA,NA,NA,NA,NA,NA,1,0.6,2.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2472764,"acrochordus_javanicus","ACCEPTED","Squamata","Acrochordidae","reptilia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1865668,"actias_luna","ACCEPTED","Lepidoptera","Saturniidae","insecta",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0975,0.08,0.115,NA
2481800,"actitis_hypoleucos","ACCEPTED","Charadriiformes","Scolopacidae","aves",1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.18,0.24,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA
2481798,"actitis_macularius","ACCEPTED","Charadriiformes","Scolopacidae","aves",1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.042,0.034,0.05,NA,NA,NA,NA,NA,NA,NA,0.14,0.1,0.18,NA,NA,NA,NA,NA,NA,NA,0.385,0.37,0.4,NA
1043097,"adalia_bipunctata","ACCEPTED","Coleoptera","Coccinellidae","insecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2441101,"addax_nasomaculatus","ACCEPTED","Artiodactyla","Bovidae","mammalia",0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,92.5,60,125,NA,NA,NA,NA,NA,NA,NA,1.6,1.5,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2482033,"aechmophorus_occidentalis","ACCEPTED","Podicipediformes","Podicipedidae","aves",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1651430,"aedes_albopictus","ACCEPTED","Diptera","Culicidae","insecta",0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004,0.002,0.01,NA,NA,NA,NA,NA,NA,NA,0.0027,NA,NA,NA
1651799,"aedes_triseriatus","ACCEPTED","Diptera","Culicidae","insecta",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2495000,"aegithalos_caudatus","DOUBTFUL","Passeriformes","Aegithalidae","aves",1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0.008,0.007,0.009,NA,NA,NA,NA,NA,NA,NA,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175,0.16,0.19,NA
5232207,"aegolius_acadicus","ACCEPTED","Strigiformes","Strigidae","aves",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0.0875,0.065,0.11,NA,NA,NA,NA,NA,NA,NA,0.1975,0.18,0.215,NA,NA,NA,NA,NA,NA,NA,0.525,0.45,0.6,NA
5739298,"aegolius_funereus","ACCEPTED","Strigiformes","Strigidae","aves",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0.154,0.093,0.215,NA,NA,NA,NA,NA,NA,NA,0.245,0.21,0.28,NA,NA,NA,NA,NA,NA,NA,0.585,0.55,0.62,NA
5229165,"aegypius_monachus","ACCEPTED","Accipitriformes","Accipitridae","aves",1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,8.17,6.82,14,NA,NA,NA,NA,NA,NA,NA,1.15,1.1,1.2,NA,NA,NA,NA,NA,NA,NA,2.67,2.44,2.91,NA
2438733,"aepeomys_lugens","ACCEPTED","Rodentia","Cricetidae","mammalia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2441144,"aepyceros_melampus","ACCEPTED","Artiodactyla","Bovidae","mammalia",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,52.5,45,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2440030,"aepyprymnus_rufescens","ACCEPTED","Diprotodontia","Potoroidae","mammalia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0025,1.36,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2437384,"aeromys_tephromelas","ACCEPTED","Rodentia","Sciuridae","mammalia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2437383,"aeromys_thomasi","ACCEPTED","Rodentia","Sciuridae","mammalia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1700119,"aeropedellus_clavatus","ACCEPTED","Orthoptera","Acrididae","insecta",0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0205,0.016,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
