"species","omnivore","mycophage","detritivore","coprophage","iucn_red_list","endothermic","ectothermic","heterothermic","homoiothermic","bodymass_kg","carnivore_vertebrate","carnivore_invertebrate","herbivore_plantseed","herbivore_fruitnect","diet_invertebrate","diet_vertebrate_endo","diet_vertebrate_ecto","diet_vertebrate_fish","diet_vertebrate_unk","diet_eggs","diet_scav","diet_plant","diet_seed","diet_fruit","diet_nect","diet_detritus","diet_dung","diet_microbes"
"agasicles_hygrophila",NA,NA,NA,NA,"No special status",NA,1,1,NA,NA,0,0,1,NA,0,0,0,NA,0,NA,0,1,NA,NA,0,NA,NA,NA
"agelaioides_badius",NA,NA,NA,NA,"Least Concern",1,NA,NA,1,0.045,1,1,1,NA,1,0,0,NA,0,NA,0,0,1,NA,0,NA,NA,NA
"agelaius_phoeniceus",1,NA,NA,NA,"Least Concern",1,NA,NA,1,0.0561,0,0,0,NA,1,1,1,NA,0,1,1,1,1,NA,0,NA,NA,NA
"agelaius_tricolor",1,NA,NA,NA,"Endangered",1,NA,NA,1,0.0595,0,0,0,NA,1,0,0,NA,0,NA,0,0,1,1,0,NA,NA,NA
"agkistrodon_contortrix",NA,NA,NA,NA,"Least Concern",NA,1,1,NA,NA,1,0,0,NA,1,1,1,NA,0,NA,1,0,NA,NA,0,NA,NA,NA
"agkistrodon_piscivorus",NA,NA,NA,NA,"Least Concern",NA,NA,1,NA,1.0675,1,0,0,NA,1,1,1,1,0,1,1,0,NA,NA,0,NA,NA,NA
"aglais_io",NA,NA,NA,NA,"No special status",NA,1,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"aglantha_digitale",NA,NA,NA,NA,"Not Evaluated",NA,1,1,NA,NA,1,1,0,NA,1,0,0,NA,0,NA,0,1,NA,NA,0,NA,NA,1
"agraulis_vanillae",NA,NA,NA,NA,"Not Evaluated",NA,1,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"ailuroedus_crassirostris",NA,NA,NA,NA,"Least Concern",1,NA,NA,1,0.207,0,0,1,1,1,1,1,NA,0,NA,0,1,NA,1,1,NA,NA,NA
"ailuropoda_melanoleuca",NA,NA,NA,NA,"Endangered",1,NA,NA,NA,102.5,0,0,1,NA,1,1,0,1,0,NA,0,1,NA,1,0,NA,NA,NA
"ailurops_ursinus",NA,NA,NA,NA,"Vulnerable",1,NA,NA,NA,7,0,0,1,NA,0,0,0,NA,0,NA,0,1,NA,1,1,NA,NA,NA
"ailurus_fulgens",NA,NA,NA,NA,"Vulnerable",1,NA,NA,1,4.95,0,0,1,NA,0,0,0,NA,0,1,0,1,1,1,1,NA,NA,NA
"aimophila_aestivalis",1,NA,NA,NA,"Near Threatened",1,NA,NA,1,0.021,1,1,1,NA,1,0,0,NA,0,NA,0,0,1,NA,0,NA,NA,NA
"aimophila_ruficeps",1,NA,NA,NA,"Least Concern",1,NA,NA,1,0.019,0,0,0,NA,1,0,0,NA,0,NA,0,1,1,NA,0,NA,NA,NA
"aiptasia_pallida",NA,NA,NA,NA,"Not Evaluated",NA,1,1,NA,NA,0,1,0,NA,1,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"aix_galericulata",NA,NA,NA,NA,"Least Concern",1,NA,NA,NA,0.5605,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"aix_sponsa",1,NA,NA,NA,"Least Concern",1,NA,NA,NA,0.6,0,0,0,NA,1,0,0,NA,0,NA,0,0,1,1,0,NA,NA,NA
"ajaia_ajaja",NA,NA,NA,NA,"Least Concern",1,NA,NA,NA,1.037,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"akodon_azarae",1,NA,NA,NA,"Least Concern",1,NA,NA,1,0.019,0,0,0,NA,1,0,0,NA,0,NA,0,1,1,1,0,NA,NA,NA
