Reference Name,Number of records from each reference
"Targarona, R.R., Soberon, R.R., Tabet, M.A., and J.B. Thorbjarnarson, 2010",8
"Thielen et al., 2009",8
"Thorbjarnarson and Wang, 2010",8
"Tidemann, S.C., Gosler, A., 2010",8
"Tyndale-Biscoe, H. and M. Renfree, 1987",8
"Voisin, C., 2010",8
"Weijola and Sweet, 2010",8
"Wilson, K.J., 2000",8
"Yensen, E., Tarifa, T., 2003 A",8
"Anderson, S., 1969",7
"Baker, R.J., Clark, C.L, 1987",7
"Braun, J.K., Layman, Q.D., Mares, M.A., 2009",7
"Brown, G.P., Shine, R., 2006",7
"Buskirk and Ponce-Campos, 2011",7
"Dalponte, J.C., 2011",7
"Ferronato, B.O., Marques, T.S., Guardia, I. et al., 2009",7
"Gallo-Reynoso, J-P. and A-L. Figueroa-Carranza, 2010",7
"Hall, P.M. and D.R. Johnson, 1987",7
"Harris, J.M., Maloney, K.S., 2010",7
"Harris, T., 2009",7
"Heinsohn, R., Zeriga, T., Murphy, S. et al., 2009",7
"Hopton, M.E., Cameron, G.N., 2001",7
"Iverson, 1980",7
"Jones, D.P., Kunz, T.H., 2000",7
"Kirwan, G., Demirci, B., Welch, H., et al, 2009",7
"Luiselli, L., Capula, M., Shine, R., 1997",7
"Mathew, A., Ganesan, M., Majid, R.A., and C. Beastall, 2011",7
"Mattison, C., 1989",7
"McGregor, R.C., 1906",7
"Modha, 1967",7
"Prange, S., Prange, T.J., 2009",7
"Rambaldini, D.A., 2010",7
"Roots, E.H., Baker, R.J., 2007",7
"Rosi, M.I., Cona, M.I., Roig, V.G., et al, 2005",7
"Schelsky, W.M., 2004",7
"Sheridan, 2010",7
"Thorbjarnarson, 1994",7
"Wilson, D.E., Hanlon, E., 2008",7
"Yee, D.A., 2000",7
"Young, C.J., Jones, J.K., 1983",7
"Alonso, J.C., Magana, M., Alonso, J.A., et al, 2009",6
"Ambrose, 2010",6
"Armstrong, D.M., Jones, J.K., 1971",6
"Astley and Jayne, 2009",6
"Becker, P.H., Wink, M., 2003",6
"Berry, J.F. and J.B. Iverson, 2011",6
"Bleich, V.C., 1977",6
"Bouchard, S., 2001",6
"Bruderer, B., Salewski, V., 2008",6
"Churchill, 2001",6
"Cooney, S.J.N., 2009",6
"Cortes-Calva, P., Alvarez-Castaneda, S.T., Yensen, E., 2001",6
"Diaz, G.B., Ojeda, R.A., Gallardo, M.H., et al, 2000",6
"Diaz-Paniagua, C., Keller, C., and A.C. Andreu, 2011",6
"Gokula, V., 2011",6
"Gur, M.K., Gur, H., 2010",6
"Harris, J.M., 2009b",6
"Hayes, D.L., 1995",6
"Hellgren, E.C., Kazmaier, R., Ruthven, D.C. III and D.R. Synatzske, 2000",6
