Original Name,,,,,,Transformed Name,,
Acris, , , ,->, ,Echis, , 
Adelphicos,quadrivirgatus, , ,->, ,Adelphicos,quadrivirgatum,quadrivirgatus
Adelphicos,sargii, , ,->, ,Adelphicos,quadrivirgatum, 
Adelphicos,visoninus, , ,->, ,Adelphicos,quadrivirgatum, 
Adelphicos,visonius, , ,->, ,Adelphicos,quadrivirgatum, 
Adelphicus,quadrivirgatum, , ,->, ,Adelphicos,quadrivirgatum, 
Adelynhoserserpenae,nummifer, , ,->, ,Atropoides,nummifer, 
Adeniophis,bilineatus, , ,->, ,Calliophis,intestinalis, 
Adeniophis,bivirgatus, , ,->, ,Calliophis,bivirgata, 
Adeniophis,flaviceps, , ,->, ,Calliophis,bivirgata, 
Adeniophis,nigrotaeniatus, , ,->, ,Calliophis,intestinalis, 
Adenorhinos,barbouri, , ,->, ,Atheris,barbouri, 
Adercosaurus,viadneus, , ,->, ,Adercosaurus,vixadnexus, 
Adolfus,fridericianus, , ,->, ,Adolfus,africanus, 
Adolfus,vauereselli, , ,->, ,Congolacerta,vauereselli, 
Adrasteia,amicula, , ,->, ,Lampropholis,amicula, 
Adrasteia,caligula, , ,->, ,Lampropholis,caligula, 
Adrasteia,elongata, , ,->, ,Lampropholis,elongata, 
Adrasteiascincus,amicula, , ,->, ,Lampropholis,amicula, 
Adrasteiascincus,caligula, , ,->, ,Lampropholis,caligula, 
Adrasteiascincus,elongata, , ,->, ,Lampropholis,elongata, 
Aechmophrys,cerastes, , ,->, ,Crotalus,cerastes, 
Aechmophrys,intermedius, , ,->, ,Crotalus,intermedius, 
Aechmophrys,polystictus, , ,->, ,Crotalus,polystictus, 
Aechmophrys,pricei, , ,->, ,Crotalus,pricei, 
Aechmophrys,tancitarensis, , ,->, ,Crotalus,tancitarensis, 
Aechmophrys,transversus, , ,->, ,Crotalus,transversus, 
Aechmophrys,willardi, , ,->, ,Crotalus,willardi, 
Aeluronix,seychellensis, , ,->, ,Ailuronyx,seychellensis, 
Aeluronyx,seychellensis, , ,->, ,Ailuronyx,seychellensis, 
Aeluronyx,trachygaster, , ,->, ,Ailuronyx,trachygaster, 
Aelurosaurus,dorsalis, , ,->, ,Aeluroscalabotes,felinus, 
Aelurosaurus,felinus, , ,->, ,Aeluroscalabotes,felinus, 
Aeluroscalabotes,brunneus, , ,->, ,Woodworthia,brunneus, 
Aeluroscalabotes,dorsalis, , ,->, ,Aeluroscalabotes,felinus, 
Aeluroscalabotes,longicaudatus, , ,->, ,Aeluroscalabotes,felinus, 
Aepidea,robusta, , ,->, ,Gonyosoma,oxycephalum, 
Aepyurus,eydouxii, , ,->, ,Aipysurus,eydouxii, 
Afreoablepharus,wilsoni, , ,->, ,Afroablepharus,wilsoni, 
Afroablepharus,duruarus, , ,->, ,Afroablepharus,duruarum, 
Afroablepharus,megalurus, , ,->, ,Panaspis,megalurus, 
Afroablepharus,tancredi, , ,->, ,Panaspis,tancredi, 
