"species_raw","primary_diet","carnivore","carnivore:piscivore","carnivore:sanguivore","carnivore:insectivore","carnivore:molluscivore","carnivore:eats_other_marine_invertebrates","herbivore","herbivore:frugivore","herbivore:lignivore","herbivore:algivore","omnivore","planktivore","mycophage","detritivore","coprophage","animal_foods","birds","mammals","amphibians","reptiles","fish","eggs","blood","body_fluids","carrion","insects","terrestrial_non_insect_arthropods","mollusks","terrestrial_worms","aquatic_or_marine_worms","aquatic_crustaceans","echinoderms","cnidarians","other_marine_invertebrates","zooplankton","plant_foods","leaves","roots_and_tubers","wood_bark_or_stems","seeds_grains_and_nuts","fruit","nectar","pollen","flowers","sap_or_other_plant_fluids","bryophytes","lichens","algae","macroalgae","phytoplankton","other_foods","fungus","detritus","dung","microbes","endothermic","ectothermic","heterothermic","homoiothermic","mass_average_g","mass_adult_average_g","mass_adult_female_average_g","mass_adult_male_average_g","mass_embryo_average_g","mass_weanling_average_g","mass_female_average_g","mass_male_average_g","species"
"Sciurus niger","Omnivore","","","","","","","","","","","YES","","","",NA,"Birds, Mammals, Eggs, Carrion, Insects, Terrestrial Non-insect Arthropods","YES","YES","","","","YES","","","YES","YES","YES","","","","","","","","","Leaves, Seeds, grains, and nuts, Fruit","YES","","","YES","YES","","","","",NA,"","",NA,"","Fungus","YES","",NA,"","YES","","","",800,NA,NA,NA,NA,NA,NA,NA,"sciurus_niger"
"Sciurus oculatus","Herbivore, Herbivore: Frugivore, Herbivore: Granivore","","","","","","","YES","YES","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","Seeds, grains, and nuts, Fruit","","","","YES","YES","","","","",NA,"","",NA,"","","","",NA,"","YES","","","YES",638,NA,NA,NA,NA,NA,NA,NA,"sciurus_oculatus"
"Sciurus pucheranii","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"sciurus_pucheranii"
"Sciurus pyrrhinus","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"sciurus_pyrrhinus"
"Sciurus richmondi","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"sciurus_richmondi"
"Sciurus sanborni","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"sciurus_sanborni"
"Sciurus spadiceus","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"sciurus_spadiceus"
"Sciurus stramineus","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"sciurus_stramineus"
"Sciurus variegatoides","Herbivore, Herbivore: Frugivore, Herbivore: Granivore","","","","","","","YES","YES","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","Seeds, grains, and nuts, Fruit, Flowers","","","","YES","YES","","","YES","",NA,"","",NA,"","Fungus","YES","",NA,"","YES","","","YES",668.5,NA,NA,NA,NA,NA,NA,NA,"sciurus_variegatoides"
"Sciurus vulgaris","Herbivore, Herbivore: Granivore","","","","","","","YES","","","","","","","",NA,"Eggs","","","","","","YES","","","","","","","","","","","","","","Leaves, Seeds, grains, and nuts, Fruit, Sap or other plant fluids","YES","","","YES","YES","","","","YES",NA,"","",NA,"","Fungus","YES","",NA,"","YES","","","YES",600,NA,NA,NA,NA,NA,NA,NA,"sciurus_vulgaris"
"Sciurus yucatanensis","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","YES","","","",NA,NA,NA,NA,NA,NA,NA,NA,"sciurus_yucatanensis"
"Scleronycteris ega","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"scleronycteris_ega"
"Scolia dubia","Herbivore, Herbivore: Nectarivore","","","","","","","YES","","","","","","","",NA,"Insects","","","","","","","","","","YES","","","","","","","","","","Nectar","","","","","","YES","","","",NA,"","",NA,"","","","",NA,"","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA,"scolia_dubia"
"Scolomys melanops","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"scolomys_melanops"
"Scolomys ucayalensis","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"scolomys_ucayalensis"
"Scolopax minor","Carnivore, Carnivore: Vermivore","YES","","","","","","","","","","","","","",NA,"Insects, Terrestrial Worms","","","","","","","","","","YES","","","YES","","","","","","","Seeds, grains, and nuts","","","","YES","","","","","",NA,"","",NA,"","","","",NA,"","YES","","","",197.5,NA,NA,NA,NA,NA,NA,NA,"scolopax_minor"
"Scolopendra gigantea","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"scolopendra_gigantea"
"Scoteanax rueppellii","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"scoteanax_rueppellii"
"Scotinomys teguina","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"scotinomys_teguina"
"Scotinomys xerampelinus","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"scotinomys_xerampelinus"
"Scotoecus albigula","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"scotoecus_albigula"
"Scotoecus albofuscus","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"scotoecus_albofuscus"
"Scotoecus hindei","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"scotoecus_hindei"
"Scotoecus hirundo","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"scotoecus_hirundo"
"Scotoecus pallidus","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"scotoecus_pallidus"
"Scotomanes ornatus","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"scotomanes_ornatus"
"Scotonycteris ophiodon","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"scotonycteris_ophiodon"
"Scotonycteris zenkeri","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"scotonycteris_zenkeri"
"Scotophilus borbonicus","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"scotophilus_borbonicus"
"Scotophilus dinganii","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"scotophilus_dinganii"
"Scotophilus heathii","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"scotophilus_heathii"
"Scotophilus kuhlii","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"scotophilus_kuhlii"
"Scotophilus leucogaster","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"scotophilus_leucogaster"
"Scotophilus nigrita","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"scotophilus_nigrita"
"Scotophilus nux","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"scotophilus_nux"
"Scotophilus robustus","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"scotophilus_robustus"
"Scotophilus viridis","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"scotophilus_viridis"
"Scotorepens balstoni","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"scotorepens_balstoni"
"Scotorepens greyii","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"scotorepens_greyii"
"Scotorepens orion","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"scotorepens_orion"
"Scotorepens sanborni","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"scotorepens_sanborni"
"Scotozous dormeri","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"scotozous_dormeri"
"Scutigera coleoptrata","Carnivore, Carnivore: Insectivore","YES","","","YES","","","","","","","","","","",NA,"Insects, Terrestrial Non-insect Arthropods, Mollusks, Terrestrial Worms","","","","","","","","","","YES","YES","YES","YES","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA,"scutigera_coleoptrata"
"Scutisorex somereni","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","YES","","","YES",72.5,NA,NA,NA,NA,NA,NA,NA,"scutisorex_somereni"
"Scyliorhinus retifer","Carnivore, Carnivore: Piscivore, Carnivore: Molluscivore","YES","YES","","","YES","","","","","","","","","",NA,"Fish, Mollusks, Aquatic or Marine Worms, Aquatic Crustaceans","","","","","YES","","","","","","","YES","","YES","YES","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","YES","YES","",340,NA,NA,NA,NA,NA,NA,NA,"scyliorhinus_retifer"
"Scyllaea pelagica","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA,"scyllaea_pelagica"
"Scytodes thoracica","Carnivore, Carnivore: Eats eggs, Carnivore: Insectivore","YES","","","YES","","","","","","","","","","",NA,"Insects","","","","","","","","","","YES","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA,"scytodes_thoracica"
"Sebastes caurinus","Carnivore, Carnivore: Piscivore, Carnivore: Eats non-insect arthropods","YES","YES","","","","","","","","","","","","",NA,"Fish, Mollusks, Aquatic or Marine Worms, Aquatic Crustaceans","","","","","YES","","","","","","","YES","","YES","YES","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","","","",2600,NA,NA,NA,NA,NA,NA,NA,"sebastes_caurinus"
"Seiurus aurocapilla","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","YES","","","",21,NA,NA,NA,NA,NA,NA,NA,"seiurus_aurocapilla"
"Seiurus motacilla","Carnivore, Carnivore: Piscivore, Carnivore: Insectivore, Carnivore: Eats non-insect arthropods, Carnivore: Molluscivore, Carnivore: Vermivore","YES","YES","","YES","YES","","","","","","","","","",NA,"Amphibians, Fish, Insects, Terrestrial Non-insect Arthropods, Mollusks, Terrestrial Worms, Aquatic Crustaceans","","","YES","","YES","","","","","YES","YES","YES","YES","","YES","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","YES","","","YES",20.5,NA,NA,NA,NA,NA,NA,NA,"seiurus_motacilla"
"Seiurus noveboracensis","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","YES","","","",18.7,NA,NA,NA,NA,NA,NA,NA,"seiurus_noveboracensis"
"Sekeetamys calurus","Omnivore","","","","","","","","","","","YES","","","",NA,"Insects, Terrestrial Worms","","","","","","","","","","YES","","","YES","","","","","","","Leaves, Seeds, grains, and nuts, Fruit","YES","","","YES","YES","","","","",NA,"","",NA,"","","","",NA,"","YES","","","YES",64,NA,NA,NA,NA,NA,NA,NA,"sekeetamys_calurus"
"Selasphorus platycercus","Omnivore","","","","","","","","","","","YES","","","",NA,"Insects","","","","","","","","","","YES","","","","","","","","","","Nectar","","","","","","YES","","","",NA,"","",NA,"","","","",NA,"","YES","","","",3.5,NA,NA,NA,NA,NA,NA,NA,"selasphorus_platycercus"
"Selasphorus rufus","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","YES","","","",3.37,NA,NA,NA,NA,NA,NA,NA,"selasphorus_rufus"
"Selasphorus sasin","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","YES","","","",3,NA,NA,NA,NA,NA,NA,NA,"selasphorus_sasin"
"Selevinia betpakdalaensis","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"selevinia_betpakdalaensis"
"Semibalanus balanoides","Herbivore, Herbivore: Algivore, Planktivore, Detritivore","","","","","","","YES","","","YES","","YES","","YES",NA,"Zooplankton","","","","","","","","","","","","","","","","","","","YES","Phytoplankton","","","","","","","","","",NA,"","",NA,"YES","","","",NA,"","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA,"semibalanus_balanoides"
"Semicossyphus pulcher","Carnivore, Carnivore: Molluscivore","YES","","","","YES","","","","","","","","","",NA,"Fish, Mollusks, Aquatic or Marine Worms, Aquatic Crustaceans, Echinoderms, Other Marine Invertebrates","","","","","YES","","","","","","","YES","","YES","YES","YES","","YES","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","YES","YES","",16000,NA,NA,NA,NA,NA,NA,NA,"semicossyphus_pulcher"
"Semnopithecus entellus","Herbivore, Herbivore: Folivore","","","","","","","YES","","","","","","","",NA,"Insects","","","","","","","","","","YES","","","","","","","","","","Leaves, Wood, bark, or stems, Seeds, grains, and nuts, Fruit, Flowers, Lichens","YES","","YES","YES","YES","","","YES","",NA,"YES","",NA,"","","","",NA,"","YES","","","YES",11450,NA,NA,NA,NA,NA,NA,NA,"semnopithecus_entellus"
"Semnopithecus hypoleucos","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"semnopithecus_hypoleucos"
"Semotilus atromaculatus","Carnivore, Carnivore: Eats terrestrial vertebrates, Carnivore: Piscivore, Carnivore: Insectivore, Carnivore: Eats non-insect arthropods, Carnivore: Molluscivore, Omnivore","YES","YES","","YES","YES","","","","","","YES","","","",NA,"Amphibians, Fish, Insects, Mollusks","","","YES","","YES","","","","","YES","","YES","","","","","","","","Leaves, Roots and tubers","YES","YES","","","","","","","",NA,"","",NA,"","","","",NA,"","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA,"semotilus_atromaculatus"
"Sepia apama","Carnivore, Carnivore: Piscivore, Carnivore: Eats non-insect arthropods","YES","YES","","","","","","","","","","","","",NA,"Fish, Aquatic Crustaceans","","","","","YES","","","","","","","","","","YES","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","YES","YES","",10500,NA,NA,NA,NA,NA,NA,NA,"sepia_apama"
"Sepia officinalis","Carnivore, Carnivore: Piscivore, Carnivore: Eats non-insect arthropods, Carnivore: Molluscivore, Carnivore: Vermivore","YES","YES","","","YES","","","","","","","","","",NA,"Fish, Mollusks, Aquatic or Marine Worms, Aquatic Crustaceans","","","","","YES","","","","","","","YES","","YES","YES","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","YES","YES","",3000,NA,NA,NA,NA,NA,NA,NA,"sepia_officinalis"
"Sepioteuthis lessoniana","Carnivore, Carnivore: Piscivore, Carnivore: Molluscivore","YES","YES","","","YES","","","","","","","","","",NA,"Fish, Mollusks, Aquatic Crustaceans, Other Marine Invertebrates, Zooplankton","","","","","YES","","","","","","","YES","","","YES","","","YES","YES","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","YES","YES","YES","",400,NA,NA,NA,NA,NA,NA,NA,"sepioteuthis_lessoniana"
"Sepioteuthis sepioidea","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA,"sepioteuthis_sepioidea"
"Sericulus chrysocephalus","Herbivore, Herbivore: Frugivore","","","","","","","YES","YES","","","","","","",NA,"Insects","","","","","","","","","","YES","","","","","","","","","","Fruit","","","","","YES","","","","",NA,"","",NA,"","","","",NA,"","YES","","","YES",100,NA,NA,NA,NA,NA,NA,NA,"sericulus_chrysocephalus"
"Serinus mozambicus","Omnivore","","","","","","","","","","","YES","","","",NA,"Insects, Terrestrial Worms","","","","","","","","","","YES","","","YES","","","","","","","Leaves, Seeds, grains, and nuts, Fruit, Nectar, Flowers","YES","","","YES","YES","YES","","YES","",NA,"","",NA,"","","","",NA,"","YES","","","YES",13,NA,NA,NA,NA,NA,NA,NA,"serinus_mozambicus"
"Seriola lalandi","Carnivore, Carnivore: Piscivore, Carnivore: Molluscivore, Planktivore","YES","YES","","","YES","","","","","","","YES","","",NA,"Fish, Mollusks","","","","","YES","","","","","","","YES","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","YES","YES","",70000,NA,NA,NA,NA,NA,NA,NA,"seriola_lalandi"
"Setifer setosus","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"setifer_setosus"
"Setonix brachyurus","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","YES","","","",3450,NA,NA,NA,NA,NA,NA,NA,"setonix_brachyurus"
"Setophaga ruticilla","Carnivore, Carnivore: Insectivore","YES","","","YES","","","","","","","","","","",NA,"Insects, Terrestrial Non-insect Arthropods","","","","","","","","","","YES","YES","","","","","","","","","Seeds, grains, and nuts, Fruit","","","","YES","YES","","","","",NA,"","",NA,"","","","",NA,"","YES","","","YES",8.3,NA,NA,NA,NA,NA,NA,NA,"setophaga_ruticilla"
"Sialia mexicana","Omnivore","","","","","","","","","","","YES","","","",NA,"Insects, Terrestrial Non-insect Arthropods","","","","","","","","","","YES","YES","","","","","","","","","Fruit","","","","","YES","","","","",NA,"","",NA,"","","","",NA,"","YES","","","",27.5,NA,NA,NA,NA,NA,NA,NA,"sialia_mexicana"
"Sialia sialis","Carnivore, Carnivore: Insectivore","YES","","","YES","","","","","","","","","","",NA,"Insects","","","","","","","","","","YES","","","","","","","","","","Seeds, grains, and nuts, Fruit","","","","YES","YES","","","","",NA,"","",NA,"","","","",NA,"","YES","","","",30.5,NA,NA,NA,NA,NA,NA,NA,"sialia_sialis"
"Sicista betulina","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"sicista_betulina"
"Sicista napaea","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"sicista_napaea"
"Sicista subtilis","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"sicista_subtilis"
"Sicista tianshanica","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"sicista_tianshanica"
"Sigmodon alleni","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"sigmodon_alleni"
"Sigmodon alstoni","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"sigmodon_alstoni"
"Sigmodon arizonae","Herbivore, Herbivore: Folivore","","","","","","","YES","","","","","","","",NA,"Carrion, Insects","","","","","","","","","YES","YES","","","","","","","","","","Leaves, Seeds, grains, and nuts, Fruit","YES","","","YES","YES","","","","",NA,"","",NA,"","","","",NA,"","YES","","","",172,NA,NA,NA,NA,NA,NA,NA,"sigmodon_arizonae"
"Sigmodon fulviventer","Omnivore","","","","","","","","","","","YES","","","",NA,"Birds, Eggs, Insects","YES","","","","","YES","","","","YES","","","","","","","","","","Leaves, Roots and tubers, Seeds, grains, and nuts","YES","YES","","YES","","","","","",NA,"","",NA,"","","","",NA,"","YES","","","",210,NA,NA,NA,NA,NA,NA,NA,"sigmodon_fulviventer"
"Sigmodon hispidus","Herbivore, Herbivore: Folivore, Herbivore: Granivore, Herbivore: Lignivore","","","","","","","YES","","YES","","","","","",NA,"Eggs, Carrion, Insects, Aquatic Crustaceans","","","","","","YES","","","YES","YES","","","","","YES","","","","","Leaves, Roots and tubers, Wood, bark, or stems, Seeds, grains, and nuts, Fruit","YES","YES","YES","YES","YES","","","","",NA,"","",NA,"","","","",NA,"","YES","","","YES",159,NA,NA,NA,NA,NA,NA,NA,"sigmodon_hispidus"
"Sigmodon inopinatus","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"sigmodon_inopinatus"
"Sigmodon leucotis","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"sigmodon_leucotis"
"Sigmodon mascotensis","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"sigmodon_mascotensis"
"Sigmodon ochrognathus","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"sigmodon_ochrognathus"
"Silurus glanis","Carnivore, Carnivore: Eats terrestrial vertebrates, Carnivore: Piscivore, Planktivore","YES","YES","","","","","","","","","","YES","","",NA,"Birds, Mammals, Amphibians, Reptiles, Fish, Carrion, Insects, Mollusks, Terrestrial Worms, Aquatic Crustaceans, Zooplankton","YES","YES","YES","YES","YES","","","","YES","YES","","YES","YES","","YES","","","","YES","Phytoplankton","","","","","","","","","",NA,"","",NA,"YES","","","",NA,"","","YES","YES","",45000,NA,NA,NA,NA,NA,NA,NA,"silurus_glanis"
"Simias concolor","Herbivore, Herbivore: Folivore, Herbivore: Frugivore","","","","","","","YES","YES","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","Leaves, Fruit, Flowers","YES","","","","YES","","","YES","",NA,"","",NA,"","","","",NA,"","YES","","","YES",7900,NA,NA,NA,NA,NA,NA,NA,"simias_concolor"
"Simpsonaias ambigua","Planktivore, Detritivore","","","","","","","","","","","","YES","","YES",NA,"","","","","","","","","","","","","","","","","","","","","Algae, Phytoplankton","","","","","","","","","",NA,"","YES",NA,"YES","Detritus, Microbes","","YES",NA,"YES","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA,"simpsonaias_ambigua"
"Simulium damnosum","Carnivore, Carnivore: Sanguivore, Herbivore, Herbivore: Nectarivore","YES","","YES","","","","YES","","","","","","","",NA,"Blood, Zooplankton","","","","","","","YES","","","","","","","","","","","","YES","Nectar, Algae","","","","","","YES","","","",NA,"","YES",NA,"","Detritus, Microbes","","YES",NA,"YES","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA,"simulium_damnosum"
"Simulium venustum","Herbivore, Herbivore: Nectarivore","","","","","","","YES","","","","","","","",NA,"Blood, Aquatic Crustaceans","","","","","","","YES","","","","","","","","YES","","","","","Nectar, Pollen, Algae","","","","","","YES","YES","","",NA,"","YES",NA,"","Detritus","","YES",NA,"","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA,"simulium_venustum"
