"species_raw","adw_primary_diet","adw_carnivore","adw_carnivore.piscivore","adw_carnivore.sanguivore","adw_carnivore.insectivore","adw_carnivore.molluscivore","adw_carnivore.eats_other_marine_invertebrates","adw_herbivore","adw_herbivore.frugivore","adw_herbivore.lignivore","adw_herbivore.algivore","adw_omnivore","adw_planktivore","adw_mycophage","adw_detritivore","adw_coprophage","adw_animal_foods","adw_birds","adw_mammals","adw_amphibians","adw_reptiles","adw_fish","adw_eggs","adw_blood","adw_body_fluids","adw_carrion","adw_insects","adw_terrestrial_non_insect_arthropods","adw_mollusks","adw_terrestrial_worms","adw_aquatic_or_marine_worms","adw_aquatic_crustaceans","adw_echinoderms","adw_cnidarians","adw_other_marine_invertebrates","adw_zooplankton","adw_plant_foods","adw_leaves","adw_roots_and_tubers","adw_wood_bark_or_stems","adw_seeds_grains_and_nuts","adw_fruit","adw_nectar","adw_pollen","adw_flowers","adw_sap_or_other_plant_fluids","adw_bryophytes","adw_lichens","adw_algae","adw_macroalgae","adw_phytoplankton","adw_other_foods","adw_fungus","adw_detritus","adw_dung","adw_microbes","adw_endothermic","adw_ectothermic","adw_heterothermic","adw_homoiothermic","bodymass_kg"
"actias_luna","Herbivore, Herbivore: Folivore",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Leaves",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,1,1,NA,NA
"actinia_equina","Carnivore, Carnivore: Insectivore, Carnivore: Eats non-insect arthropods, Carnivore: Molluscivore, Carnivore: Eats other marine invertebrates",1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mollusks, Other Marine Invertebrates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,1,1,NA,0.00042
"actinonaias_ligamentina","Planktivore, Detritivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,"Zooplankton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Algae, Phytoplankton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,"Detritus, Microbes",NA,1,NA,1,NA,1,1,NA,NA
"actitis_hypoleucos","Carnivore, Carnivore: Eats non-insect arthropods",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amphibians, Fish, Insects, Terrestrial Non-insect Arthropods, Terrestrial Worms, Aquatic or Marine Worms, Aquatic Crustaceans, Other Marine Invertebrates",NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,1,1,1,NA,NA,1,NA,"Seeds, grains, and nuts",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1,NA,NA,1,0.04
"actitis_macularius","Carnivore, Carnivore: Insectivore, Carnivore: Eats non-insect arthropods, Carnivore: Molluscivore",1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amphibians, Fish, Carrion, Insects, Terrestrial Non-insect Arthropods, Mollusks, Terrestrial Worms",NA,NA,1,NA,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1,NA,NA,NA,0.042
"adalia_bipunctata","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,1,NA,NA,NA
"addax_nasomaculatus","Herbivore, Herbivore: Folivore",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Leaves, Wood, bark, or stems, Flowers",1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1,NA,NA,1,92.5
"aechmophorus_occidentalis","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1,NA,NA,NA,1.4
"aedes_albopictus","Herbivore, Herbivore: Nectarivore",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"Blood",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nectar",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,1,NA,NA,NA
"aedes_triseriatus","Herbivore, Herbivore: Nectarivore",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"Blood",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Detritus, Microbes",NA,1,NA,1,NA,1,1,NA,NA
