"accepted_species_gbif","accepted_gbif_id","gbif_id","order","family","genus","status","species_raw","adw_primary_diet","adw_carnivore","adw_carnivore.piscivore","adw_carnivore.sanguivore","adw_carnivore.insectivore","adw_carnivore.molluscivore","adw_carnivore.eats_other_marine_invertebrates","adw_herbivore","adw_herbivore.frugivore","adw_herbivore.lignivore","adw_herbivore.algivore","adw_omnivore","adw_planktivore","adw_mycophage","adw_detritivore","adw_coprophage","adw_animal_foods","adw_birds","adw_mammals","adw_amphibians","adw_reptiles","adw_fish","adw_eggs","adw_blood","adw_body_fluids","adw_carrion","adw_insects","adw_terrestrial_non_insect_arthropods","adw_mollusks","adw_terrestrial_worms","adw_aquatic_or_marine_worms","adw_aquatic_crustaceans","adw_echinoderms","adw_cnidarians","adw_other_marine_invertebrates","adw_zooplankton","adw_plant_foods","adw_leaves","adw_roots_and_tubers","adw_wood_bark_or_stems","adw_seeds_grains_and_nuts","adw_fruit","adw_nectar","adw_pollen","adw_flowers","adw_sap_or_other_plant_fluids","adw_bryophytes","adw_lichens","adw_algae","adw_macroalgae","adw_phytoplankton","adw_other_foods","adw_fungus","adw_detritus","adw_dung","adw_microbes","adw_endothermic","adw_ectothermic","adw_heterothermic","adw_homoiothermic","species","bodymass_kg"
"Acridotheres tristis","2489005","2489005","Passeriformes","Sturnidae","Acridotheres","ACCEPTED","Acridotheres tristis","Omnivore","","",NA,"","","","","","","","YES","","","",NA,"Birds, Mammals, Amphibians, Reptiles, Fish, Eggs, Carrion, Insects, Terrestrial Non-insect Arthropods, Terrestrial Worms, Aquatic or Marine Worms, Aquatic Crustaceans","YES","YES","YES","YES","YES","YES","","","YES","YES","YES","","YES","YES","YES","","","","","Seeds, grains, and nuts, Fruit, Nectar, Flowers","","","","YES","YES","YES","","YES","",NA,"","",NA,"","","","","","","YES","","","YES","acridotheres_tristis",0.1125
"Acris crepitans","2427616","2427616","Anura","Hylidae","Acris","ACCEPTED","Acris crepitans","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","YES","","","acris_crepitans",NA
"Acris gryllus","2427618","2427618","Anura","Hylidae","Acris","ACCEPTED","Acris gryllus","Carnivore, Carnivore: Insectivore, Carnivore: Eats non-insect arthropods","YES","",NA,"YES","","","","","","","","","","",NA,"Insects, Terrestrial Non-insect Arthropods","","","","","","","","","","YES","YES","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","YES","YES","","acris_gryllus",NA
"Acrobates pygmaeus","5219960","5219960","Diprotodontia","Acrobatidae","Acrobates","ACCEPTED","Acrobates pygmaeus","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","YES","","","","acrobates_pygmaeus",0.013
"Acrocephalus arundinaceus","2493128","2493128","Passeriformes","Acrocephalidae","Acrocephalus","ACCEPTED","Acrocephalus arundinaceus","Carnivore, Carnivore: Insectivore, Carnivore: Eats non-insect arthropods","YES","",NA,"YES","","","","","","","","","","",NA,"Amphibians, Fish, Insects, Terrestrial Non-insect Arthropods, Mollusks","","","YES","","YES","","","","","YES","YES","YES","","","","","","","","Fruit","","","","","YES","","","","",NA,"","",NA,"","","","","","","YES","","","YES","acrocephalus_arundinaceus",0.036
"Acrochordus granulatus","2472757","2472757","Squamata","Acrochordidae","Acrochordus","ACCEPTED","Acrochordus granulatus","Carnivore, Carnivore: Piscivore, Carnivore: Eats non-insect arthropods","YES","YES",NA,"","","","","","","","","","","",NA,"Fish, Mollusks, Aquatic Crustaceans","","","","","YES","","","","","","","YES","","","YES","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","YES","","acrochordus_granulatus",0.13
"Acrochordus javanicus","2472764","2472764","Squamata","Acrochordidae","Acrochordus","ACCEPTED","Acrochordus javanicus","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","","acrochordus_javanicus",6.5
"Acropora cervicornis","5184681","5184681","Scleractinia","Acroporidae","Acropora","ACCEPTED","Acropora cervicornis","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","YES","","","acropora_cervicornis",NA
"Acropora millepora","5184672","5184672","Scleractinia","Acroporidae","Acropora","ACCEPTED","Acropora millepora","Herbivore, Herbivore: Eats sap or other plant foods, Planktivore","","",NA,"","","","YES","","","","","YES","","",NA,"Zooplankton","","","","","","","","","","","","","","","","","","","YES","Phytoplankton","","","","","","","","","",NA,"","",NA,"YES","Detritus, Microbes","","YES","","YES","","YES","YES","","acropora_millepora",NA
"Acropora palmata","5184657","5184657","Scleractinia","Acroporidae","Acropora","ACCEPTED","Acropora palmata","Herbivore, Herbivore: Eats sap or other plant foods, Planktivore","","",NA,"","","","YES","","","","","YES","","",NA,"Zooplankton","","","","","","","","","","","","","","","","","","","YES","Sap or other plant fluids, Phytoplankton","","","","","","","","","YES",NA,"","",NA,"YES","Detritus, Microbes","","YES","","YES","","YES","","","acropora_palmata",NA
"Actias luna","1865668","1865668","Lepidoptera","Saturniidae","Actias","ACCEPTED","Actias luna","Herbivore, Herbivore: Folivore","","",NA,"","","","YES","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","Leaves","YES","","","","","","","","",NA,"","",NA,"","","","","","","","YES","YES","","actias_luna",NA
"Actinia equina","2256559","2256559","Actiniaria","Actiniidae","Actinia","ACCEPTED","Actinia equina","Carnivore, Carnivore: Insectivore, Carnivore: Eats non-insect arthropods, Carnivore: Molluscivore, Carnivore: Eats other marine invertebrates","YES","",NA,"YES","YES","YES","","","","","","","","",NA,"Mollusks, Other Marine Invertebrates","","","","","","","","","","","","YES","","","","","","YES","","","","","","","","","","","",NA,"","",NA,"","","","","","","","YES","YES","","actinia_equina",0.00042
"Actinonaias ligamentina","2288295","2288295","Unionida","Unionidae","Actinonaias","ACCEPTED","Actinonaias ligamentina","Planktivore, Detritivore","","",NA,"","","","","","","","","YES","","YES",NA,"Zooplankton","","","","","","","","","","","","","","","","","","","YES","Algae, Phytoplankton","","","","","","","","","",NA,"","YES",NA,"YES","Detritus, Microbes","","YES","","YES","","YES","YES","","actinonaias_ligamentina",NA
"Actitis hypoleucos","2481800","2481800","Charadriiformes","Scolopacidae","Actitis","ACCEPTED","Actitis hypoleucos","Carnivore, Carnivore: Eats non-insect arthropods","YES","",NA,"","","","","","","","","","","",NA,"Amphibians, Fish, Insects, Terrestrial Non-insect Arthropods, Terrestrial Worms, Aquatic or Marine Worms, Aquatic Crustaceans, Other Marine Invertebrates","","","YES","","YES","","","","","YES","YES","","YES","YES","YES","","","YES","","Seeds, grains, and nuts","","","","YES","","","","","",NA,"","",NA,"","","","","","","YES","","","YES","actitis_hypoleucos",0.04
"Actitis macularius","2481798","2481798","Charadriiformes","Scolopacidae","Actitis","ACCEPTED","Actitis macularius","Carnivore, Carnivore: Insectivore, Carnivore: Eats non-insect arthropods, Carnivore: Molluscivore","YES","",NA,"YES","YES","","","","","","","","","",NA,"Amphibians, Fish, Carrion, Insects, Terrestrial Non-insect Arthropods, Mollusks, Terrestrial Worms","","","YES","","YES","","","","YES","YES","YES","YES","YES","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","YES","","","","actitis_macularius",0.042
"Adalia bipunctata","1043097","1043097","Coleoptera","Coccinellidae","Adalia","ACCEPTED","Adalia bipunctata","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","YES","","","adalia_bipunctata",NA
"Addax nasomaculatus","2441101","2441101","Artiodactyla","Bovidae","Addax","ACCEPTED","Addax nasomaculatus","Herbivore, Herbivore: Folivore","","",NA,"","","","YES","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","Leaves, Wood, bark, or stems, Flowers","YES","","YES","","","","","YES","",NA,"","",NA,"","","","","","","YES","","","YES","addax_nasomaculatus",92.5
"Aechmophorus occidentalis","2482033","2482033","Podicipediformes","Podicipedidae","Aechmophorus","ACCEPTED","Aechmophorus occidentalis","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","YES","","","","aechmophorus_occidentalis",1.4
"Aedes albopictus","1651430","1651430","Diptera","Culicidae","Aedes","ACCEPTED","Aedes albopictus","Herbivore, Herbivore: Nectarivore","","",NA,"","","","YES","","","","","","","",NA,"Blood","","","","","","","YES","","","","","","","","","","","","","Nectar","","","","","","YES","","","",NA,"","",NA,"","","","","","","","YES","","","aedes_albopictus",NA
"Aedes triseriatus","1651799","1651799","Diptera","Culicidae","Aedes","ACCEPTED","Aedes triseriatus","Herbivore, Herbivore: Nectarivore","","",NA,"","","","YES","","","","","","","",NA,"Blood","","","","","","","YES","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","Detritus, Microbes","","YES","","YES","","YES","YES","","aedes_triseriatus",NA
"Aegithalos caudatus","2495000","2495000","Passeriformes","Aegithalidae","Aegithalos","DOUBTFUL","Aegithalos caudatus","Carnivore, Carnivore: Insectivore","YES","",NA,"YES","","","","","","","","","","",NA,"Insects","","","","","","","","","","YES","","","","","","","","","","Seeds, grains, and nuts","","","","YES","","","","","",NA,"","",NA,"","","","","","","YES","","","YES","aegithalos_caudatus",0.008
"Aegolius acadicus","5232207","5232207","Strigiformes","Strigidae","Aegolius","ACCEPTED","Aegolius acadicus","Carnivore, Carnivore: Eats terrestrial vertebrates","YES","",NA,"","","","","","","","","","","",NA,"Birds, Mammals, Insects","YES","YES","","","","","","","","YES","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","YES","","","","aegolius_acadicus",0.0875
"Aegolius funereus","5739298","5739298","Strigiformes","Strigidae","Aegolius","ACCEPTED","Aegolius funereus","Carnivore, Carnivore: Eats terrestrial vertebrates","YES","",NA,"","","","","","","","","","","",NA,"Birds, Mammals, Insects","YES","YES","","","","","","","","YES","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","YES","","","YES","aegolius_funereus",0.154
"Aegypius monachus","5229165","5229165","Accipitriformes","Accipitridae","Aegypius","ACCEPTED","Aegypius monachus","Carnivore, Carnivore: Scavenger","YES","",NA,"","","","","","","","","","","",NA,"Mammals, Reptiles, Carrion, Insects","","YES","","YES","","","","","YES","YES","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","YES","","","","aegypius_monachus",8.17
"Aepyceros melampus","2441144","2441144","Artiodactyla","Bovidae","Aepyceros","ACCEPTED","Aepyceros melampus","Herbivore, Herbivore: Folivore","","",NA,"","","","YES","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","Leaves, Wood, bark, or stems","YES","","YES","","","","","","",NA,"","",NA,"","","","","","","YES","","","YES","aepyceros_melampus",52.5
"Aepyprymnus rufescens","2440030","2440030","Diprotodontia","Potoroidae","Aepyprymnus","ACCEPTED","Aepyprymnus rufescens","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","YES","","","","aepyprymnus_rufescens",0.00248
"Aeropedellus clavatus","1700119","1700119","Orthoptera","Acrididae","Aeropedellus","ACCEPTED","Aeropedellus clavatus","Herbivore, Herbivore: Folivore","","",NA,"","","","YES","","","","","","","",NA,"Insects","","","","","","","","","","YES","","","","","","","","","","Leaves, Pollen, Flowers","YES","","","","","","YES","YES","",NA,"","",NA,"","Fungus","YES","","","","","YES","YES","","aeropedellus_clavatus",NA
"Aeshna canadensis","1425205","1425205","Odonata","Aeshnidae","Aeshna","ACCEPTED","Aeshna canadensis","Carnivore, Carnivore: Insectivore, Carnivore: Molluscivore","YES","",NA,"YES","YES","","","","","","","","","",NA,"Amphibians, Fish, Eggs, Insects, Mollusks, Zooplankton","","","YES","","YES","YES","","","","YES","","YES","","","","","","","YES","","","","","","","","","","",NA,"","",NA,"","","","","","","","YES","","","aeshna_canadensis",NA
"Aeshna umbrosa","1425250","1425250","Odonata","Aeshnidae","Aeshna","ACCEPTED","Aeshna umbrosa","Carnivore, Carnivore: Insectivore","YES","",NA,"YES","","","","","","","","","","",NA,"Amphibians, Fish, Insects, Aquatic Crustaceans","","","YES","","YES","","","","","YES","","","","","YES","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","YES","","","aeshna_umbrosa",NA
"Aethia cristatella","2481295","2481295","Charadriiformes","Alcidae","Aethia","ACCEPTED","Aethia cristatella","Carnivore, Carnivore: Piscivore, Carnivore: Eats non-insect arthropods, Carnivore: Eats other marine invertebrates, Planktivore","YES","YES",NA,"","","YES","","","","","","YES","","",NA,"Fish, Mollusks, Aquatic Crustaceans, Other Marine Invertebrates, Zooplankton","","","","","YES","","","","","","","YES","","","YES","","","YES","YES","Phytoplankton","","","","","","","","","",NA,"","",NA,"YES","","","","","","YES","","","YES","aethia_cristatella",0.26
"Aethia pusilla","5229270","5229270","Charadriiformes","Alcidae","Aethia","ACCEPTED","Aethia pusilla","Carnivore, Carnivore: Eats non-insect arthropods","YES","",NA,"","","","","","","","","","","",NA,"Aquatic Crustaceans","","","","","","","","","","","","","","","YES","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","YES","","","YES","aethia_pusilla",0.086
"Aetobatus narinari","2419231","2419231","Myliobatiformes","Myliobatidae","Aetobatus","ACCEPTED","Aetobatus narinari","Carnivore, Carnivore: Eats non-insect arthropods, Carnivore: Molluscivore, Carnivore: Vermivore","YES","",NA,"","YES","","","","","","","","","",NA,"Fish, Mollusks, Aquatic or Marine Worms, Aquatic Crustaceans, Echinoderms","","","","","YES","","","","","","","YES","","YES","YES","YES","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","YES","YES","","aetobatus_narinari",230
"Agalychnis callidryas","2428197","2428197","Anura","Phyllomedusidae","Agalychnis","ACCEPTED","Agalychnis callidryas","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","YES","","","agalychnis_callidryas",NA
"Agamia agami","2480836","2480836","Pelecaniformes","Ardeidae","Agamia","ACCEPTED","Agamia agami","Carnivore, Carnivore: Piscivore","YES","YES",NA,"","","","","","","","","","","",NA,"Amphibians, Fish, Other Marine Invertebrates","","","YES","","YES","","","","","","","","","","","","","YES","","","","","","","","","","","",NA,"","",NA,"","","","","","","YES","","","","agamia_agami",2.5
"Agapornis fischeri","2479544","2479544","Psittaciformes","Psittacidae","Agapornis","ACCEPTED","Agapornis fischeri","Herbivore, Herbivore: Frugivore, Herbivore: Granivore","","",NA,"","","","YES","YES","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","Seeds, grains, and nuts, Fruit","","","","YES","YES","","","","",NA,"","",NA,"","","","","","","YES","","","YES","agapornis_fischeri",0.05
"Agapornis personatus","2479553","2479553","Psittaciformes","Psittacidae","Agapornis","ACCEPTED","Agapornis personatus","Herbivore, Herbivore: Granivore","","",NA,"","","","YES","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","Wood, bark, or stems, Seeds, grains, and nuts, Fruit","","","YES","YES","YES","","","","",NA,"","",NA,"","","","","","","YES","","","YES","agapornis_personatus",0.0525
"Agapornis roseicollis","9770031","9770031","Psittaciformes","Psittacidae","Agapornis","ACCEPTED","Agapornis roseicollis","Herbivore, Herbivore: Granivore","","",NA,"","","","YES","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","Seeds, grains, and nuts, Flowers","","","","YES","","","","YES","",NA,"","",NA,"","","","","","","YES","","","YES","agapornis_roseicollis",0.0548
"Agasicles hygrophila","1047377","1047377","Coleoptera","Chrysomelidae","Agasicles","ACCEPTED","Agasicles hygrophila","Herbivore, Herbivore: Folivore, Herbivore: Lignivore","","",NA,"","","","YES","","YES","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","Leaves, Wood, bark, or stems","YES","","YES","","","","","","",NA,"","",NA,"","","","","","","","YES","YES","","agasicles_hygrophila",NA
"Agelaioides badius","2484481","2484481","Passeriformes","Icteridae","Agelaioides","ACCEPTED","Agelaioides badius","Carnivore, Carnivore: Insectivore, Herbivore, Herbivore: Granivore","YES","",NA,"YES","","","YES","","","","","","","",NA,"Insects","","","","","","","","","","YES","","","","","","","","","","Seeds, grains, and nuts","","","","YES","","","","","",NA,"","",NA,"","","","","","","YES","","","YES","agelaioides_badius",0.045
"Agelaius phoeniceus","9409198","9409198","Passeriformes","Icteridae","Agelaius","ACCEPTED","Agelaius phoeniceus","Omnivore","","",NA,"","","","","","","","YES","","","",NA,"Birds, Amphibians, Reptiles, Eggs, Carrion, Insects, Terrestrial Non-insect Arthropods, Terrestrial Worms","YES","","YES","YES","","YES","","","YES","YES","YES","","YES","","","","","","","Roots and tubers, Wood, bark, or stems, Seeds, grains, and nuts","","YES","YES","YES","","","","","",NA,"","",NA,"","","","","","","YES","","","YES","agelaius_phoeniceus",0.05605
"Agelaius tricolor","2484445","2484445","Passeriformes","Icteridae","Agelaius","ACCEPTED","Agelaius tricolor","Omnivore","","",NA,"","","","","","","","YES","","","",NA,"Insects","","","","","","","","","","YES","","","","","","","","","","Seeds, grains, and nuts, Fruit","","","","YES","YES","","","","",NA,"","",NA,"","","","","","","YES","","","YES","agelaius_tricolor",0.0595
"Agkistrodon contortrix","9215881","9215881","Squamata","Viperidae","Agkistrodon","ACCEPTED","Agkistrodon contortrix","Carnivore, Carnivore: Eats terrestrial vertebrates","YES","",NA,"","","","","","","","","","","",NA,"Birds, Mammals, Amphibians, Reptiles, Carrion, Insects, Terrestrial Non-insect Arthropods","YES","YES","YES","YES","","","","","YES","YES","YES","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","YES","YES","","agkistrodon_contortrix",NA
"Agkistrodon piscivorus","9105722","9105722","Squamata","Viperidae","Agkistrodon","ACCEPTED","Agkistrodon piscivorus","Carnivore, Carnivore: Eats terrestrial vertebrates, Carnivore: Piscivore","YES","YES",NA,"","","","","","","","","","","",NA,"Birds, Mammals, Amphibians, Reptiles, Fish, Eggs, Carrion, Insects, Mollusks","YES","YES","YES","YES","YES","YES","","","YES","YES","","YES","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","YES","","agkistrodon_piscivorus",1.0675
"Aglais io","4535827","4535827","Lepidoptera","Nymphalidae","Aglais","ACCEPTED","Aglais io","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","YES","","","aglais_io",NA
"Aglantha digitale","2269484","2269484","Trachymedusae","Rhopalonematidae","Aglantha","ACCEPTED","Aglantha digitale","Carnivore, Carnivore: Eats non-insect arthropods, Planktivore","YES","",NA,"","","","","","","","","YES","","",NA,"Aquatic Crustaceans, Zooplankton","","","","","","","","","","","","","","","YES","","","","YES","Phytoplankton","","","","","","","","","",NA,"","",NA,"YES","Microbes","","","","YES","","YES","YES","","aglantha_digitale",NA
"Agraulis vanillae","1907711","1907711","Lepidoptera","Nymphalidae","Agraulis","ACCEPTED","Agraulis vanillae","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","YES","","","agraulis_vanillae",NA
"Ailuroedus crassirostris","2494800","2494800","Passeriformes","Ptilonorhynchidae","Ailuroedus","ACCEPTED","Ailuroedus crassirostris","Herbivore, Herbivore: Folivore, Herbivore: Frugivore","","",NA,"","","","YES","YES","","","","","","",NA,"Birds, Reptiles, Insects","YES","","","YES","","","","","","YES","","","","","","","","","","Leaves, Fruit, Flowers","YES","","","","YES","","","YES","",NA,"","",NA,"","","","","","","YES","","","YES","ailuroedus_crassirostris",0.207
"Ailuropoda melanoleuca","2433399","2433399","Carnivora","Ursidae","Ailuropoda","ACCEPTED","Ailuropoda melanoleuca","Herbivore, Herbivore: Folivore","","",NA,"","","","YES","","","","","","","",NA,"Mammals, Fish, Insects","","YES","","","YES","","","","","YES","","","","","","","","","","Leaves, Fruit","YES","","","","YES","","","","",NA,"","",NA,"","","","","","","YES","","","","ailuropoda_melanoleuca",102.5
"Ailurops ursinus","5219990","5219990","Diprotodontia","Phalangeridae","Ailurops","ACCEPTED","Ailurops ursinus","Herbivore, Herbivore: Folivore","","",NA,"","","","YES","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","Leaves, Fruit, Flowers","YES","","","","YES","","","YES","",NA,"","",NA,"","","","","","","YES","","","","ailurops_ursinus",7
"Ailurus fulgens","5219446","5219446","Carnivora","Ailuridae","Ailurus","ACCEPTED","Ailurus fulgens","Herbivore, Herbivore: Folivore","","",NA,"","","","YES","","","","","","","",NA,"Eggs","","","","","","YES","","","","","","","","","","","","","","Leaves, Seeds, grains, and nuts, Fruit, Flowers","YES","","","YES","YES","","","YES","",NA,"","",NA,"","","","","","","YES","","","YES","ailurus_fulgens",4.95
"Peucaea aestivalis","7341544","2491946","Passeriformes","Emberizidae","Peucaea","SYNONYM","Aimophila aestivalis","Carnivore, Carnivore: Insectivore, Herbivore, Herbivore: Granivore, Omnivore","YES","",NA,"YES","","","YES","","","","YES","","","",NA,"Insects, Terrestrial Non-insect Arthropods","","","","","","","","","","YES","YES","","","","","","","","","Seeds, grains, and nuts","","","","YES","","","","","",NA,"","",NA,"","","","","","","YES","","","YES","aimophila_aestivalis",0.021
"Aimophila ruficeps","2491961","2491961","Passeriformes","Emberizidae","Aimophila","ACCEPTED","Aimophila ruficeps","Omnivore","","",NA,"","","","","","","","YES","","","",NA,"Insects","","","","","","","","","","YES","","","","","","","","","","Leaves, Seeds, grains, and nuts","YES","","","YES","","","","","",NA,"","",NA,"","","","","","","YES","","","YES","aimophila_ruficeps",0.019
"Exaiptasia diaphana","10638056","2257270","Actiniaria","Aiptasiidae","Exaiptasia","SYNONYM","Aiptasia pallida","Planktivore","","",NA,"","","","","","","","","YES","","",NA,"Zooplankton","","","","","","","","","","","","","","","","","","","YES","","","","","","","","","","",NA,"","",NA,"","","","","","","","YES","YES","","aiptasia_pallida",NA
"Aix galericulata","2498388","2498388","Anseriformes","Anatidae","Aix","ACCEPTED","Aix galericulata","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","YES","","","","aix_galericulata",0.5605
"Aix sponsa","2498387","2498387","Anseriformes","Anatidae","Aix","ACCEPTED","Aix sponsa","Omnivore","","",NA,"","","","","","","","YES","","","",NA,"Insects, Terrestrial Non-insect Arthropods, Mollusks","","","","","","","","","","YES","YES","YES","","","","","","","","Seeds, grains, and nuts, Fruit","","","","YES","YES","","","","",NA,"","",NA,"","","","","","","YES","","","","aix_sponsa",0.6
"Platalea ajaja","2480803","2480804","Pelecaniformes","Threskiornithidae","Platalea","SYNONYM","Ajaia ajaja","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","YES","","","","ajaia_ajaja",1.03697
"Akodon azarae","2437878","2437878","Rodentia","Cricetidae","Akodon","ACCEPTED","Akodon azarae","Omnivore","","",NA,"","","","","","","","YES","","","",NA,"Insects, Terrestrial Non-insect Arthropods","","","","","","","","","","YES","YES","","","","","","","","","Leaves, Seeds, grains, and nuts, Fruit","YES","","","YES","YES","","","","",NA,"","",NA,"","","","","","","YES","","","YES","akodon_azarae",0.019
"Akodon cursor","2437913","2437913","Rodentia","Cricetidae","Akodon","ACCEPTED","Akodon cursor","Omnivore","","",NA,"","","","","","","","YES","","","",NA,"Insects","","","","","","","","","","YES","","","","","","","","","","Leaves, Seeds, grains, and nuts","YES","","","YES","","","","","",NA,"","",NA,"","","","","","","YES","","","","akodon_cursor",0.0425
"Akodon montensis","4265083","4265083","Rodentia","Cricetidae","Akodon","ACCEPTED","Akodon montensis","Omnivore","","",NA,"","","","","","","","YES","","","",NA,"Insects, Terrestrial Non-insect Arthropods, Terrestrial Worms","","","","","","","","","","YES","YES","","YES","","","","","","","Leaves, Roots and tubers, Seeds, grains, and nuts, Fruit","YES","YES","","YES","YES","","","","",NA,"","",NA,"","Fungus","YES","","","","YES","","","YES","akodon_montensis",0.042
"Akodon philipmyersi","4828888","4828888","Rodentia","Cricetidae","Akodon","ACCEPTED","Akodon philipmyersi","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","YES","","","YES","akodon_philipmyersi",0.023
"Alaria americana","8948532","8948532","Diplostomida","Diplostomidae","Alaria","ACCEPTED","Alaria americana","Carnivore, Carnivore: Eats body fluids","YES","",NA,"","","","","","","","","","","",NA,"Blood, Body fluids","","","","","","","YES","YES","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","YES","YES","","alaria_americana",NA
"Alasmidonta heterodon","2287885","2287885","Unionida","Unionidae","Alasmidonta","ACCEPTED","Alasmidonta heterodon","Planktivore, Detritivore","","",NA,"","","","","","","","","YES","","YES",NA,"","","","","","","","","","","","","","","","","","","","","Phytoplankton","","","","","","","","","",NA,"","",NA,"YES","Detritus","","YES","","","","YES","YES","","alasmidonta_heterodon",NA
"Alasmidonta marginata","2287889","2287889","Unionida","Unionidae","Alasmidonta","ACCEPTED","Alasmidonta marginata","Planktivore, Detritivore","","",NA,"","","","","","","","","YES","","YES",NA,"","","","","","","","","","","","","","","","","","","","","Algae, Phytoplankton","","","","","","","","","",NA,"","YES",NA,"YES","Detritus, Microbes","","YES","","YES","","YES","YES","","alasmidonta_marginata",NA
"Alasmidonta viridis","2287894","2287894","Unionida","Unionidae","Alasmidonta","ACCEPTED","Alasmidonta viridis","Planktivore, Detritivore","","",NA,"","","","","","","","","YES","","YES",NA,"","","","","","","","","","","","","","","","","","","","","Algae, Phytoplankton","","","","","","","","","",NA,"","YES",NA,"YES","Detritus, Microbes","","YES","","YES","","YES","YES","","alasmidonta_viridis",NA
"Alauda arvensis","8077224","8077224","Passeriformes","Alaudidae","Alauda","ACCEPTED","Alauda arvensis","Omnivore","","",NA,"","","","","","","","YES","","","",NA,"Insects, Terrestrial Non-insect Arthropods, Mollusks, Terrestrial Worms","","","","","","","","","","YES","YES","YES","YES","","","","","","","Seeds, grains, and nuts","","","","YES","","","","","",NA,"","",NA,"","","","","","","YES","","","YES","alauda_arvensis",0.036
"Alaus oculatus","1162072","1162072","Coleoptera","Elateridae","Alaus","ACCEPTED","Alaus oculatus","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","YES","","","alaus_oculatus",NA
"Albula vulpes","5204104","5204104","Albuliformes","Albulidae","Albula","ACCEPTED","Albula vulpes","Carnivore, Carnivore: Piscivore, Carnivore: Eats non-insect arthropods","YES","YES",NA,"","","","","","","","","","","",NA,"Fish, Aquatic Crustaceans","","","","","YES","","","","","","","","","","YES","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","YES","YES","","albula_vulpes",3
"Alca torda","8277073","8277073","Charadriiformes","Alcidae","Alca","ACCEPTED","Alca torda","Carnivore, Carnivore: Piscivore","YES","YES",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","YES","","","","alca_torda",0.6175
