"accepted_species_gbif","accepted_gbif_id","gbif_id","order","family","genus","status","species_raw","adw_primary_diet","adw_carnivore","adw_carnivore.piscivore","adw_carnivore.sanguivore","adw_carnivore.insectivore","adw_carnivore.molluscivore","adw_carnivore.eats_other_marine_invertebrates","adw_herbivore","adw_herbivore.frugivore","adw_herbivore.lignivore","adw_herbivore.algivore","adw_omnivore","adw_planktivore","adw_mycophage","adw_detritivore","adw_coprophage","adw_animal_foods","adw_birds","adw_mammals","adw_amphibians","adw_reptiles","adw_fish","adw_eggs","adw_blood","adw_body_fluids","adw_carrion","adw_insects","adw_terrestrial_non_insect_arthropods","adw_mollusks","adw_terrestrial_worms","adw_aquatic_or_marine_worms","adw_aquatic_crustaceans","adw_echinoderms","adw_cnidarians","adw_other_marine_invertebrates","adw_zooplankton","adw_plant_foods","adw_leaves","adw_roots_and_tubers","adw_wood_bark_or_stems","adw_seeds_grains_and_nuts","adw_fruit","adw_nectar","adw_pollen","adw_flowers","adw_sap_or_other_plant_fluids","adw_bryophytes","adw_lichens","adw_algae","adw_macroalgae","adw_phytoplankton","adw_other_foods","adw_fungus","adw_detritus","adw_dung","adw_microbes","adw_endothermic","adw_ectothermic","adw_heterothermic","adw_homoiothermic","species","bodymass_kg"
"Cicindela hirticollis","1034829","1034829","Coleoptera","Carabidae","Cicindela","ACCEPTED","Cicindela hirticollis","Carnivore, Carnivore: Insectivore, Carnivore: Eats non-insect arthropods","YES","","","YES","","","","","","","","",NA,"",NA,"Insects, Terrestrial Non-insect Arthropods","","","","","","","","","","YES","YES","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,"","YES","YES","","cicindela_hirticollis",NA
NA,NA,"1034699","Coleoptera","Carabidae","Cicindela","ACCEPTED","Cicindela lepida","Carnivore, Carnivore: Insectivore","YES","","","YES","","","","","","","","",NA,"",NA,"Insects, Terrestrial Non-insect Arthropods","","","","","","","","","","YES","YES","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,"","YES","YES","","cicindela_lepida",NA
"Cicindela scutellaris","1034775","1034775","Coleoptera","Carabidae","Cicindela","ACCEPTED","Cicindela scutellaris","Carnivore, Carnivore: Insectivore","YES","","","YES","","","","","","","","",NA,"",NA,"Insects, Terrestrial Non-insect Arthropods","","","","","","","","","","YES","YES","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,"","YES","YES","","cicindela_scutellaris",NA
"Ciconia ciconia","2481912","2481912","Ciconiiformes","Ciconiidae","Ciconia","ACCEPTED","Ciconia ciconia","Carnivore, Carnivore: Eats terrestrial vertebrates, Carnivore: Insectivore, Carnivore: Eats non-insect arthropods, Carnivore: Vermivore","YES","","","YES","","","","","","","","",NA,"",NA,"Birds, Mammals, Amphibians, Reptiles, Fish, Eggs, Insects, Terrestrial Non-insect Arthropods, Mollusks, Terrestrial Worms, Aquatic Crustaceans","YES","YES","YES","YES","YES","YES","","","","YES","YES","YES","YES","","YES","","","","","","","","","","","","","","","","","","","","","","",NA,NA,"YES","","","YES","ciconia_ciconia",8
"Ciconia nigra","2481909","2481909","Ciconiiformes","Ciconiidae","Ciconia","ACCEPTED","Ciconia nigra","Carnivore, Carnivore: Eats terrestrial vertebrates, Carnivore: Piscivore","YES","YES","","","","","","","","","","",NA,"",NA,"Mammals, Amphibians, Reptiles, Fish, Insects, Terrestrial Non-insect Arthropods, Mollusks","","YES","YES","YES","YES","","","","","YES","YES","YES","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,"YES","","","YES","ciconia_nigra",3
"Cimex hemipterus","5866510","5866510","Hemiptera","Cimicidae","Cimex","ACCEPTED","Cimex hemipterus","Carnivore, Carnivore: Sanguivore","YES","","YES","","","","","","","","","",NA,"",NA,"Blood","","","","","","","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,"","YES","YES","","cimex_hemipterus",NA
"Cimex pilosellus","2021058","2021058","Hemiptera","Cimicidae","Cimex","ACCEPTED","Cimex pilosellus","Carnivore, Carnivore: Sanguivore","YES","","YES","","","","","","","","","",NA,"",NA,"Blood","","","","","","","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,"","YES","YES","","cimex_pilosellus",NA
"Cinclus cinclus","2495093","2495093","Passeriformes","Cinclidae","Cinclus","ACCEPTED","Cinclus cinclus","Carnivore, Carnivore: Insectivore","YES","","","YES","","","","","","","","",NA,"",NA,"Fish, Insects","","","","","YES","","","","","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,"YES","","","YES","cinclus_cinclus",0.064
"Cinclus mexicanus","9606873","9606873","Passeriformes","Cinclidae","Cinclus","ACCEPTED","Cinclus mexicanus","","","","","","","","","","","","","",NA,"",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,"YES","","","","cinclus_mexicanus",0.0502
"Circus cyaneus","2480487","2480487","Accipitriformes","Accipitridae","Circus","ACCEPTED","Circus cyaneus","Carnivore, Carnivore: Eats terrestrial vertebrates","YES","","","","","","","","","","","",NA,"",NA,"Birds, Mammals, Amphibians, Reptiles","YES","YES","YES","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,"YES","","","YES","circus_cyaneus",0.445
"Cirrhilabrus exquisitus","2383873","2383873","Perciformes","Labridae","Cirrhilabrus","ACCEPTED","Cirrhilabrus exquisitus","","","","","","","","","","","","","",NA,"",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,"","","","","cirrhilabrus_exquisitus",2
"Cistothorus palustris","2493863","2493863","Passeriformes","Troglodytidae","Cistothorus","ACCEPTED","Cistothorus palustris","","","","","","","","","","","","","",NA,"",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,"YES","","","","cistothorus_palustris",0.0115
"Cistothorus platensis","2493890","2493890","Passeriformes","Troglodytidae","Cistothorus","ACCEPTED","Cistothorus platensis","Carnivore, Carnivore: Insectivore, Carnivore: Eats non-insect arthropods","YES","","","YES","","","","","","","","",NA,"",NA,"Insects, Terrestrial Non-insect Arthropods","","","","","","","","","","YES","YES","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,"YES","","","YES","cistothorus_platensis",0.0085
"Civettictis civetta","2434634","2434634","Carnivora","Viverridae","Civettictis","ACCEPTED","Civettictis civetta","","","","","","","","","","","","","",NA,"",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,"YES","","","YES","civettictis_civetta",13.5
"Clamator glandarius","2496464","2496464","Cuculiformes","Cuculidae","Clamator","ACCEPTED","Clamator glandarius","","","","","","","","","","","","","",NA,"",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,"YES","","","","clamator_glandarius",NA
"Clangula hyemalis","2498273","2498273","Anseriformes","Anatidae","Clangula","ACCEPTED","Clangula hyemalis","Carnivore, Carnivore: Eats other marine invertebrates","YES","","","","","YES","","","","","","",NA,"",NA,"Fish, Eggs, Insects, Mollusks, Terrestrial Worms, Aquatic Crustaceans, Echinoderms, Other Marine Invertebrates","","","","","YES","YES","","","","YES","","YES","YES","","YES","YES","","YES","","Leaves, Seeds, grains, and nuts, Fruit, Algae","YES","","","YES","YES","","","","","","","YES","","","","","",NA,NA,"YES","","","YES","clangula_hyemalis",0.91
"Clarias gariepinus","5202793","5202793","Siluriformes","Clariidae","Clarias","ACCEPTED","Clarias gariepinus","Omnivore","","","","","","","","","","","YES","",NA,"",NA,"Birds, Mammals, Amphibians, Reptiles, Fish, Eggs, Carrion, Insects, Terrestrial Non-insect Arthropods, Mollusks, Aquatic Crustaceans, Other Marine Invertebrates, Zooplankton","YES","YES","YES","YES","YES","YES","","","YES","YES","YES","YES","","","YES","","","YES","YES","Seeds, grains, and nuts, Fruit","","","","YES","YES","","","","","","","","","","","","",NA,NA,"","YES","","","clarias_gariepinus",NA
