Family,Genus,CommonName,Species,Species (ITIS),Habitat_Forest,Habitat_Savanna,Habitat_Shrubland,Habitat_Grassland,Habitat_Wetlands,Habitat_Rocky areas,Habitat_Desert,Refs1,Refs2
Cebidae,Cebus,Spix_s_White_fronted_Capuchin,Cebus_unicolor,Cebus_unicolor,1,0,0,0,1,0,0,516,NA
Cebidae,Cebus,Varied_White_fronted_Capuchin,Cebus_versicolor,Cebus_versicolor,1,0,0,0,1,0,0,511,NA
Cebidae,Cebus,Marañón_White_fronted_Capuchin,Cebus_yuracus,Cebus_yuracus,1,0,0,0,0,0,0,504,NA
Tarsiidae,Cephalopachus,Western_Tarsier,Cephalopachus_bancanus,Cephalopachus_bancanus,1,0,0,0,0,0,0,1148,NA
Cercopithecidae,Cercocebus,Agile_Mangabey,Cercocebus_agilis,Cercocebus_agilis,1,0,0,0,0,0,0,227,NA
Cercopithecidae,Cercocebus,Sooty_Mangabey,Cercocebus_atys,Cercocebus_atys,1,1,0,0,0,0,0,227,NA
Cercopithecidae,Cercocebus,Golden_bellied_Mangabey,Cercocebus_chrysogaster,Cercocebus_chrysogaster,1,0,0,0,0,0,0,227,NA
Cercopithecidae,Cercocebus,Tana_River_Mangabey,Cercocebus_galeritus,Cercocebus_galeritus,1,0,0,0,0,0,0,227,NA
Cercopithecidae,Cercocebus,White_naped_Mangabey,Cercocebus_lunulatus,Cercocebus_lunulatus,1,0,0,0,0,0,0,517,NA
Cercopithecidae,Cercocebus,Sanje_River_Mangabey,Cercocebus_sanjei,Cercocebus_sanjei,1,0,0,0,0,0,0,227,NA
Cercopithecidae,Cercocebus,Red_capped_Mangabey,Cercocebus_torquatus,Cercocebus_torquatus,1,0,0,0,0,0,0,227,NA
Cercopithecidae,Cercopithecus,Syke_s_Monkey,Cercopithecus_albogularis,NA,1,0,0,0,0,0,0,227,NA
Cercopithecidae,Cercopithecus,Red_tailed_Monkey,Cercopithecus_ascanius,Cercopithecus_ascanius,1,0,0,0,0,0,0,227,NA
Cercopithecidae,Cercopithecus,Campbell_s_Monkey,Cercopithecus_campbelli,Cercopithecus_campbelli,1,1,0,0,0,0,0,227,NA
Cercopithecidae,Cercopithecus,Moustached_Monkey,Cercopithecus_cephus,Cercopithecus_cephus,1,0,0,0,0,0,0,227,NA
Cercopithecidae,Cercopithecus,Dent_s_Monkey,Cercopithecus_denti,Cercopithecus_denti,1,0,0,0,0,0,0,537,NA
Cercopithecidae,Cercopithecus,Diana_Monkey,Cercopithecus_diana,Cercopithecus_diana,1,0,0,0,0,0,0,227,NA
Cercopithecidae,Cercopithecus,Silver_Monkey,Cercopithecus_doggetti,NA,1,0,0,0,0,0,0,247,NA
Cercopithecidae,Cercopithecus,Dryas_Monkey,Cercopithecus_dryas,Cercopithecus_dryas,1,0,0,0,0,0,0,227,NA
Cercopithecidae,Cercopithecus,Red_bellied_Monkey,Cercopithecus_erythrogaster,Cercopithecus_erythrogaster,1,0,0,0,0,0,0,227,NA
Cercopithecidae,Cercopithecus,Red_eared_Monkey,Cercopithecus_erythrotis,Cercopithecus_erythrotis,1,0,0,0,0,0,0,227,NA
Cercopithecidae,Cercopithecus,Owl_faced_Monkey,Cercopithecus_hamlyni,Cercopithecus_hamlyni,1,0,0,0,0,0,0,227,NA
Cercopithecidae,Cercopithecus,Virungas_Golden_Monkey,Cercopithecus_kandti,NA,1,0,0,0,0,0,0,518,NA
Cercopithecidae,Cercopithecus,Lesula,Cercopithecus_lomamiensis,Cercopithecus_lomamiensis,1,0,0,0,0,0,0,519,NA
Cercopithecidae,Cercopithecus,Lowe_s_Monkey,Cercopithecus_lowei,Cercopithecus_lowei,1,1,0,0,0,0,0,536,NA
Cercopithecidae,Cercopithecus,Blue_Monkey,Cercopithecus_mitis,Cercopithecus_mitis,1,0,0,0,0,0,0,227,NA
Cercopithecidae,Cercopithecus,Mona_Monkey,Cercopithecus_mona,Cercopithecus_mona,1,0,0,0,0,0,0,227,NA
Cercopithecidae,Cercopithecus,De_Brazza_s_Monkey,Cercopithecus_neglectus,Cercopithecus_neglectus,1,0,0,0,1,0,0,227,NA
Cercopithecidae,Cercopithecus,Putty_nosed_Monkey,Cercopithecus_nictitans,Cercopithecus_nictitans,1,0,0,0,1,0,0,246,260
