Family,Genus,CommonName,Species,Species (ITIS),DielActivity,Refs
Callitrichidae,Leontocebus,Spix_s_Saddle_back_Tamarin,Leontocebus_fuscicollis,,CA,71
Callitrichidae,Leontocebus,Lesson_s_Saddle_back_Tamarin,Leontocebus_fuscus,Leontocebus_fuscus,D,1158
Callitrichidae,Leontocebus,Illiger_s_Saddle_back_Tamarin,Leontocebus_illigeri,Leontocebus_illigeri,D,715
Callitrichidae,Leontocebus,Red_mantled_Saddle_back_Tamarin,Leontocebus_lagonotus,Leontocebus_lagonotus,D,1158
Callitrichidae,Leontocebus,Andean_Saddle_back_Tamarin,Leontocebus_leucogenys,Leontocebus_leucogenys,D,472
Callitrichidae,Leontocebus,Black_mantled_tamarin,Leontocebus_nigricollis,Leontocebus_nigricollis,D,1158
Callitrichidae,Leontocebus,Geoffroy_s_Saddle_back_Tamarin,Leontocebus_nigrifrons,Leontocebus_nigrifrons,D,71
Callitrichidae,Leontocebus,Golden_mantled_Saddle_back_Tamarin,Leontocebus_tripartitus,Leontocebus_tripartitus,D,73
Callitrichidae,Leontocebus,Weddell’s_Saddle_back_Tamarin,Leontocebus_weddelli,Leontocebus_weddelli,D,718
Callitrichidae,Leontopithecus,Black_faced_Lion_Tamarin,Leontopithecus_caissara,Leontopithecus_caissara,D,719
Callitrichidae,Leontopithecus,Golden_headed_Lion_Tamarin,Leontopithecus_chrysomelas,Leontopithecus_chrysomelas,D,721
Callitrichidae,Leontopithecus,Black_Lion_Tamarin,Leontopithecus_chrysopygus,Leontopithecus_chrysopygus,D,75
Callitrichidae,Leontopithecus,Golden_Lion_Tamarin,Leontopithecus_rosalia,Leontopithecus_rosalia,D,725
Lepilemuridae,Lepilemur,Antafia_Sportive_Lemur,Lepilemur_aeeclis,Lepilemur_aeeclis,N,439
Lepilemuridae,Lepilemur,Tsiombikibo_Sportive_Lemur,Lepilemur_ahmansonorum,Lepilemur_ahmansonorum,N,270
Lepilemuridae,Lepilemur,Ankarana_Sportive_Lemur,Lepilemur_ankaranensis,Lepilemur_ankaranensis,N,439
Lepilemuridae,Lepilemur,Betsileo_Sportive_Lemur,Lepilemur_betsileo,Lepilemur_betsileo,N,439
Lepilemuridae,Lepilemur,Gray_s_Sportive_Lemur,Lepilemur_dorsalis,Lepilemur_dorsalis,N,439
Lepilemuridae,Lepilemur,Milne_Edwards_s_Sportive_Lemur,Lepilemur_edwardsi,Lepilemur_edwardsi,N,1178
Lepilemuridae,Lepilemur,Andohahela_Sportive_Lemur,Lepilemur_fleuretae,Lepilemur_fleuretae,N,439
Lepilemuridae,Lepilemur,Anjiamangirana_Sportive_Lemur,Lepilemur_grewcockorum,Lepilemur_grewcockorum,N,731
Lepilemuridae,Lepilemur,Mananara_Nord_Sportive_Lemur,Lepilemur_hollandorum,Lepilemur_hollandorum,N,439
