"Ref	Cite_in	DOI	Classe	Sous classe	Super ordre	Ordre	Sous ordre	Famille	Genus	Species	Functional_group	Diet_type	Diet_type_ajout	Ref_ajout_diet	C_mean	C_sd	N_mean	N_sd	P_mean	P_sd	P_MinMax	C/N_mean	C/N_sd	C/P_mean	C/P_sd	N/P	DryMass (g)	DryMass_sd (g)	DryMass_ajout	DryMass_sd_ajout	Ref_ajout_DryMass	WetMass (g)	WetMass_ajout	Ref_ajout_WetMass	Body_length(m)	Body_length_sd(m)	C_mean_sample_size	N_mean_sample-size	P_mean_sample_size	Mass_sample_size	Age_Stage(???)	Biome	Biome ajout	Ref biome ajout	Stoichio data source	Body_mass data source	Observation	Agent	Organism_source	Stoichio_analysis	Nitrogen_calc_from_prot	Ratio_method";
"Taylor_et_al_2003	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Agaricales		Inocybaceae	Inocybe	tigrina	Microbe				43.4		4.8					10.55																									JS	BA				molar";
"Stark_1972	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Agaricales		Inocybaceae	Inocybe		Microbe						8.63		0.95			5.95		120.28		20.22																					JS	BA				molar";
"Vogt_&_Edmonds_1980	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Agaricales		Inocybaceae	Inocybe		Microbe						2.4		0.47							11.31																					JS	BA				molar";
"Edmonds_&_Lebo_1998	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Polyporales		Fomitopsidaceae	Ischnoderma	resinosum	Microbe						3.85		0.28							30.47																					JS	BA				molar";
"Edmonds_&_Lebo_1998	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Agaricales		Strophariaceae	Kuehneromyces	lignicola	Microbe						1.25		0.99							2.8																					JS	BA				molar";
"Falandysz_et_al_2001	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Agaricales		Hydnangiaceae	Laccaria	amethystina	Microbe								0.67																												JS	BA				molar";
"Edmonds_&_Lebo_1998	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Agaricales		Hydnangiaceae	Laccaria	bicolor	Microbe						3.65		0.68							11.93																					JS	BA				molar";
"Taylor_et_al_2003	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Agaricales		Hydnangiaceae	Laccaria	bicolor	Microbe				43.4		4					12.66																									JS	BA				molar";
"Ayaz_et_al_2011	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Agaricales		Hydnangiaceae	Laccaria	laccata	Microbe								0.61																												JS	BA				molar";
"Liu_et_al_2012	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Agaricales		Hydnangiaceae	Laccaria	laccata	Microbe								0.5																												JS	BA				molar";
"Vogt_&_Edmonds_1980	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Agaricales		Hydnangiaceae	Laccaria	laccata	Microbe						2.58		0.45							12.7																					JS	BA				molar";
"Taylor_et_al_2003	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Agaricales		Hydnangiaceae	Laccaria	laccata	Microbe				42.6		5.1					9.75																									JS	BA				molar";
"Allen_et_al_2003	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius	alnicola	Microbe						4.1																														JS	BA				molar";
"Taylor_et_al_2003	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius	aurantiacus	Microbe				44.1		3.8					13.54																									JS	BA				molar";
"Taylor_et_al_2003	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius	badiosanguineus	Microbe				44.4		4.2					12.33																									JS	BA				molar";
"Taylor_et_al_2003	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius	camphoratus	Microbe				44.8		4.5					11.61																									JS	BA				molar";
"Allen_et_al_2003	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius	camphoratus	Microbe						2.3																														JS	BA				molar";
"Washizuka_1987	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius	chrysorrheus	Microbe						4.4		0.3							32.48																					JS	BA				molar";
"Tel_et_al_2014	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius	deliciosus	Microbe								0.2																												JS	BA				molar";
"Falandysz_et_al_2001	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius	deliciosus	Microbe								0.83																												JS	BA				molar";
