"usagekey","scientificname","rank","status","matchtype","canonicalname","confidence","kingdom","phylum","order","family","genus","species","kingdomkey","phylumkey","classkey","orderkey","familykey","genuskey","specieskey","synonym","class","note","acceptedusagekey"
5219950,"Philander opossum (Linnaeus, 1758)","species","ACCEPTED","EXACT","Philander opossum",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Philander","Philander opossum",1,44,359,783,5455,5219946,5219950,FALSE,"Mammalia",NA,NA
5219947,"Philander mcilhennyi Gardner & Patton, 1972","species","ACCEPTED","EXACT","Philander mcilhennyi",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Philander","Philander mcilhennyi",1,44,359,783,5455,5219946,5219947,FALSE,"Mammalia",NA,NA
5219949,"Philander frenatus (Olfers, 1818)","species","ACCEPTED","EXACT","Philander frenatus",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Philander","Philander frenatus",1,44,359,783,5455,5219946,5219949,FALSE,"Mammalia",NA,NA
2439914,"Thylamys pusillus (Desmarest, 1804)","species","ACCEPTED","EXACT","Thylamys pusillus",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Thylamys","Thylamys pusillus",1,44,359,783,5455,2439905,2439914,FALSE,"Mammalia",NA,NA
2439907,"Thylamys venustus (Thomas, 1902)","species","ACCEPTED","EXACT","Thylamys venustus",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Thylamys","Thylamys venustus",1,44,359,783,5455,2439905,2439907,FALSE,"Mammalia",NA,NA
2439910,"Thylamys tatei (Handley, 1957)","species","ACCEPTED","EXACT","Thylamys tatei",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Thylamys","Thylamys tatei",1,44,359,783,5455,2439905,2439910,FALSE,"Mammalia",NA,NA
2439917,"Thylamys sponsorius (Thomas, 1921)","species","ACCEPTED","EXACT","Thylamys sponsorius",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Thylamys","Thylamys sponsorius",1,44,359,783,5455,2439905,2439917,FALSE,"Mammalia",NA,NA
2439906,"Thylamys velutinus (Wagner, 1842)","species","ACCEPTED","EXACT","Thylamys velutinus",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Thylamys","Thylamys velutinus",1,44,359,783,5455,2439905,2439906,FALSE,"Mammalia",NA,NA
2439911,"Thylamys macrurus (Olfers, 1818)","species","ACCEPTED","EXACT","Thylamys macrurus",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Thylamys","Thylamys macrurus",1,44,359,783,5455,2439905,2439911,FALSE,"Mammalia",NA,NA
2439909,"Thylamys karimii (Petter, 1968)","species","ACCEPTED","EXACT","Thylamys karimii",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Thylamys","Thylamys karimii",1,44,359,783,5455,2439905,2439909,FALSE,"Mammalia",NA,NA
2439913,"Thylamys cinderella (Thomas, 1902)","species","ACCEPTED","EXACT","Thylamys cinderella",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Thylamys","Thylamys cinderella",1,44,359,783,5455,2439905,2439913,FALSE,"Mammalia",NA,NA
2439908,"Thylamys elegans (Waterhouse, 1839)","species","ACCEPTED","EXACT","Thylamys elegans",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Thylamys","Thylamys elegans",1,44,359,783,5455,2439905,2439908,FALSE,"Mammalia",NA,NA
2439916,"Thylamys pallidior (Thomas, 1902)","species","ACCEPTED","EXACT","Thylamys pallidior",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Thylamys","Thylamys pallidior",1,44,359,783,5455,2439905,2439916,FALSE,"Mammalia",NA,NA
2439932,"Tlacuatzin canescens (J.A.Allen, 1893)","species","ACCEPTED","EXACT","Tlacuatzin canescens",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Tlacuatzin","Tlacuatzin canescens",1,44,359,783,5455,2439931,2439932,FALSE,"Mammalia",NA,NA
2433364,"Caenolestes caniventer Anthony, 1921","species","ACCEPTED","EXACT","Caenolestes caniventer",98,"Animalia","Chordata","Paucituberculata","Caenolestidae","Caenolestes","Caenolestes caniventer",1,44,359,792,5476,2433359,2433364,FALSE,"Mammalia",NA,NA
2433363,"Caenolestes condorensis Albuja V. & Patterson, 1996","species","ACCEPTED","EXACT","Caenolestes condorensis",98,"Animalia","Chordata","Paucituberculata","Caenolestidae","Caenolestes","Caenolestes condorensis",1,44,359,792,5476,2433359,2433363,FALSE,"Mammalia",NA,NA
2433360,"Caenolestes convelatus Anthony, 1924","species","ACCEPTED","EXACT","Caenolestes convelatus",98,"Animalia","Chordata","Paucituberculata","Caenolestidae","Caenolestes","Caenolestes convelatus",1,44,359,792,5476,2433359,2433360,FALSE,"Mammalia",NA,NA
2433365,"Caenolestes fuliginosus (Tomes, 1863)","species","ACCEPTED","EXACT","Caenolestes fuliginosus",98,"Animalia","Chordata","Paucituberculata","Caenolestidae","Caenolestes","Caenolestes fuliginosus",1,44,359,792,5476,2433359,2433365,FALSE,"Mammalia",NA,NA
2433374,"Lestoros inca (Thomas, 1917)","species","ACCEPTED","EXACT","Lestoros inca",98,"Animalia","Chordata","Paucituberculata","Caenolestidae","Lestoros","Lestoros inca",1,44,359,792,5476,2433373,2433374,FALSE,"Mammalia",NA,NA
2433370,"Rhyncholestes raphanurus Osgood, 1924","species","ACCEPTED","EXACT","Rhyncholestes raphanurus",98,"Animalia","Chordata","Paucituberculata","Caenolestidae","Rhyncholestes","Rhyncholestes raphanurus",1,44,359,792,5476,2433369,2433370,FALSE,"Mammalia",NA,NA
2433393,"Dromiciops gliroides Thomas, 1894","species","ACCEPTED","EXACT","Dromiciops gliroides",98,"Animalia","Chordata","Microbiotheria","Microbiotheriidae","Dromiciops","Dromiciops gliroides",1,44,359,790,5939,2433392,2433393,FALSE,"Mammalia",NA,NA
2440824,"Notoryctes caurinus Thomas, 1920","species","ACCEPTED","EXACT","Notoryctes caurinus",98,"Animalia","Chordata","Notoryctemorphia","Notoryctidae","Notoryctes","Notoryctes caurinus",1,44,359,1454,5942,2440823,2440824,FALSE,"Mammalia",NA,NA
2440825,"Notoryctes typhlops (Stirling, 1889)","species","ACCEPTED","EXACT","Notoryctes typhlops",98,"Animalia","Chordata","Notoryctemorphia","Notoryctidae","Notoryctes","Notoryctes typhlops",1,44,359,1454,5942,2440823,2440825,FALSE,"Mammalia",NA,NA
