"accepted_gbif_id","order","family","status","scientific","diet_inv","diet_vend","diet_vect","diet_vfish","diet_vunk","diet_scav","diet_fruit","diet_nect","diet_seed","diet_planto","diet_source","diet_certainty","bodymass_value","bodymass_source","bodymass_speclevel","msw3_id","mswfamilylatin","forstrat_value","forstrat_certainty","forstrat_comment","activity_nocturnal","activity_crepuscular","activity_diurnal","activity_source","activity_certainty","specid","passnonpass","iocorder","blfamilylatin","blfamilyenglish","blfamsequid","taxo","english","diet_5cat","diet_enteredby","forstrat_watbelowsurf","forstrat_wataroundsurf","forstrat_ground","forstrat_understory","forstrat_midhigh","forstrat_canopy","forstrat_aerial","pelagicspecialist","forstrat_source","forstrat_speclevel","forstrat_enteredby","nocturnal","bodymass_comment","record_comment"
2437223,"Rodentia","Bathyergidae","ACCEPTED","Bathyergus janetta",0,0,0,0,0,0,0,0,0,100,"Ref_1","ABC",332,"Ref_117","1",2837,"Bathyergidae","G","A",NA,1,1,0,"Ref_3","D2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2437222,"Rodentia","Bathyergidae","ACCEPTED","Bathyergus suillus",0,0,0,0,0,0,0,0,0,100,"Ref_1","ABC",625,"Ref_117","1",2838,"Bathyergidae","G","A",NA,1,1,0,"Ref_3","D2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2437748,"Rodentia","Muridae","ACCEPTED","Batomys dentatus",0,0,0,0,0,0,30,0,30,40,"Ref_1","ABC",196,"Ref_117","1",2273,"Muridae","G","A",NA,1,0,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2437750,"Rodentia","Muridae","ACCEPTED","Batomys granti",0,0,0,0,0,0,30,0,30,40,"Ref_1","ABC",177.8,"Ref_117","1",2272,"Muridae","G","A",NA,1,0,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4264816,"Rodentia","Muridae","ACCEPTED","Batomys russatus",0,0,0,0,0,0,30,0,30,40,"Ref_2","D1",186.79,"Ref_2","Ref_3",2270,"Muridae","G","A",NA,1,0,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2437749,"Rodentia","Muridae","ACCEPTED","Batomys salomonseni",0,0,0,0,0,0,30,0,30,40,"Ref_1","ABC",187,"Ref_117","1",2271,"Muridae","G","A",NA,1,0,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4265862,"Chiroptera","Vespertilionidae","ACCEPTED","Bauerus dubiaquercus",80,0,20,0,0,0,0,0,0,0,"Ref_1","ABC",22.22,"Ref_58","1",4590,"Vespertilionidae","A","A",NA,1,0,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2434117,"Carnivora","Herpestidae","ACCEPTED","Bdeogale crassicauda",80,10,10,0,0,0,0,0,0,0,"Ref_110","ABC",1549.99,"Ref_117","1",4876,"Herpestidae","G","A",NA,1,0,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2434124,"Carnivora","Herpestidae","ACCEPTED","Bdeogale jacksoni",40,50,0,0,10,0,0,0,0,0,"Ref_110","ABC",2500,"Ref_117","1",4877,"Herpestidae","G","A",NA,1,0,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2434123,"Carnivora","Herpestidae","ACCEPTED","Bdeogale nigripes",60,30,10,0,0,0,0,0,0,0,"Ref_110","ABC",2500,"Ref_117","1",4878,"Herpestidae","G","A",NA,1,0,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2437732,"Rodentia","Nesomyidae","ACCEPTED","Beamys hindei",0,0,0,0,0,0,50,0,50,0,"Ref_1","ABC",75.8,"Ref_117","1",1332,"Nesomyidae","G","A",NA,1,0,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2437731,"Rodentia","Nesomyidae","ACCEPTED","Beamys major",0,0,0,0,0,0,50,0,50,0,"Ref_1","ABC",75.8,"Ref_2","Ref_3",1333,"Nesomyidae","G","A",NA,1,0,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4262734,"Artiodactyla","Bovidae","ACCEPTED","Beatragus hunteri",0,0,0,0,0,0,0,0,0,100,"Ref_1","ABC",79132.17,"Ref_58","1",5198,"Bovidae","G","A",NA,0,1,1,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2437241,"Rodentia","Sciuridae","ACCEPTED","Belomys pearsonii",10,0,0,0,0,0,20,0,50,20,"Ref_3","D2",217,"Ref_117","1",891,"Sciuridae","Ar","A",NA,1,0,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2440387,"Cetacea","Hyperoodontidae","ACCEPTED","Berardius arnuxii",90,0,0,10,0,0,0,0,0,0,"Ref_1","ABC",7e+06,"Ref_117","1",5393,"Ziphiidae","M","A",NA,1,1,1,"Ref_3","D2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2440388,"Cetacea","Hyperoodontidae","ACCEPTED","Berardius bairdii",90,0,0,10,0,0,0,0,0,0,"Ref_1","ABC",11380000,"Ref_117","1",5392,"Ziphiidae","M","A",NA,1,1,1,"Ref_3","D2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2438963,"Rodentia","Muridae","ACCEPTED","Berylmys berdmorei",30,0,0,0,0,0,20,0,10,40,"Ref_1","ABC",235,"Ref_117","1",2277,"Muridae","G","A",NA,1,0,0,"Ref_3","D2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2438965,"Rodentia","Muridae","ACCEPTED","Berylmys bowersi",30,0,0,0,0,0,20,0,10,40,"Ref_1","ABC",300,"Ref_117","1",2274,"Muridae","G","A",NA,1,0,0,"Ref_3","D2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2438964,"Rodentia","Muridae","ACCEPTED","Berylmys mackenziei",30,0,0,0,0,0,20,0,10,40,"Ref_1","ABC",256,"Ref_117","1",2275,"Muridae","G","A",NA,1,0,0,"Ref_3","D2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
