"mentionned_species","canonical_names","gbif_id","status","match_type","accepted_species","accepted_gbif_id","order","family"
"Alcelaphus buselaphus","Alcelaphus buselaphus",5220185,"ACCEPTED","EXACT","Alcelaphus buselaphus",5220185,"Artiodactyla","Bovidae"
"Alcelaphus caama","Alcelaphus caama",5706330,"ACCEPTED","EXACT","Alcelaphus caama",5706330,"Artiodactyla","Bovidae"
"Alcelaphus lichtensteinii","Alcelaphus lichtensteinii",5706335,"ACCEPTED","EXACT","Alcelaphus lichtensteinii",5706335,"Artiodactyla","Bovidae"
"Alces alces","Alces alces",2440940,"ACCEPTED","EXACT","Alces alces",2440940,"Artiodactyla","Cervidae"
"Alces americanus","Alces americanus",4262283,"ACCEPTED","EXACT","Alces americanus",4262283,"Artiodactyla","Cervidae"
"Alectoris barbara","Alectoris barbara",2474045,"ACCEPTED","EXACT","Alectoris barbara",2474045,"Galliformes","Phasianidae"
"Alectoris chukar","Alectoris chukar",2474029,"ACCEPTED","EXACT","Alectoris chukar",2474029,"Galliformes","Phasianidae"
"Alectoris graeca","Alectoris graeca",2474055,"ACCEPTED","EXACT","Alectoris graeca",2474055,"Galliformes","Phasianidae"
"Alectoris magna","Alectoris magna",5228023,"ACCEPTED","EXACT","Alectoris magna",5228023,"Galliformes","Phasianidae"
"Alectoris melanocephala","Alectoris melanocephala",5228006,"ACCEPTED","EXACT","Alectoris melanocephala",5228006,"Galliformes","Phasianidae"
"Alectoris philbyi","Alectoris philbyi",5228028,"ACCEPTED","EXACT","Alectoris philbyi",5228028,"Galliformes","Phasianidae"
"Alectoris rufa","Alectoris rufa",2474051,"ACCEPTED","EXACT","Alectoris rufa",2474051,"Galliformes","Phasianidae"
"Alectura lathami","Alectura lathami",5229426,"ACCEPTED","EXACT","Alectura lathami",5229426,"Galliformes","Megapodiidae"
"Alionycteris paucidentata","Alionycteris paucidentata",2432970,"ACCEPTED","EXACT","Alionycteris paucidentata",2432970,"Chiroptera","Pteropodidae"
"Allactaga balikunica","Allactaga balikunica",2439485,"ACCEPTED","EXACT","Allactaga balikunica",2439485,"Rodentia","Dipodidae"
"Allactaga bullata","Allactaga bullata",2439492,"ACCEPTED","EXACT","Allactaga bullata",2439492,"Rodentia","Dipodidae"
"Allactaga elater","Allactaga elater",2439489,"ACCEPTED","EXACT","Allactaga elater",2439489,"Rodentia","Dipodidae"
