"accepted_gbif_id","species","status","order","family","carnivore_vertebrate","carnivore_invertebrate","herbivore_plantseed","herbivore_fruitnect","omnivore","diet_invertebrate","diet_vertebrate_endo","diet_vertebrate_ecto","diet_vertebrate_fish","diet_vertebrate_unk","diet_scav","diet_fruit","diet_nect","diet_seed","diet_plant","diet_source","diet_certainty","bodymass_kg","bodymass_source","bodymass_speclevel","msw3_id","mswfamilylatin","forstrat_value","forstrat_certainty","forstrat_comment","activity_nocturnal","activity_crepuscular","activity_diurnal","activity_source","activity_certainty","specid","passnonpass","iocorder","blfamilylatin","blfamilyenglish","blfamsequid","taxo","english","diet_enteredby","forstrat_watbelowsurf","forstrat_wataroundsurf","forstrat_ground","forstrat_understory","forstrat_midhigh","forstrat_canopy","forstrat_aerial","pelagicspecialist","forstrat_source","forstrat_speclevel","forstrat_enteredby","bodymass_comment","record_comment"
2439653,"aconaemys_fuscus","ACCEPTED","Rodentia","Octodontidae",NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,1,"Ref_1","ABC",0.1335,"Ref_117","1",3075,"Octodontidae","G","A",NA,1,0,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4265002,"aconaemys_porteri","ACCEPTED","Rodentia","Octodontidae",NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,1,"Ref_2","D1",0.1135,"Ref_2","Ref_3",3076,"Octodontidae","G","A",NA,1,1,1,"Ref_2","D1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2439654,"aconaemys_sagei","ACCEPTED","Rodentia","Octodontidae",NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,1,"Ref_1","ABC",0.0965,"Ref_117","1",3074,"Octodontidae","G","A",NA,0,0,1,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5219960,"acrobates_pygmaeus","ACCEPTED","Diprotodontia","Acrobatidae",NA,NA,NA,NA,NA,1,0,0,0,0,0,0,1,0,1,"Ref_1","ABC",0.012,"Ref_117","1",259,"Acrobatidae","Ar","A",NA,1,0,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2441101,"addax_nasomaculatus","ACCEPTED","Artiodactyla","Bovidae",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,"Ref_1","ABC",70.00032,"Ref_117","1",5258,"Bovidae","G","A",NA,1,0,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2438733,"aepeomys_lugens","ACCEPTED","Rodentia","Cricetidae",NA,NA,NA,NA,NA,1,0,0,0,0,0,1,0,1,1,"Ref_3","D2",0.037,"Ref_117","1",1668,"Cricetidae","G","A",NA,1,0,0,"Ref_3","D2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4265150,"aepeomys_reigi","ACCEPTED","Rodentia","Cricetidae",NA,NA,NA,NA,NA,1,0,0,0,0,0,1,0,1,1,"Ref_3","D2",0.037,"Ref_2","Ref_3",1669,"Cricetidae","G","A",NA,1,0,0,"Ref_3","D2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2441144,"aepyceros_melampus","ACCEPTED","Artiodactyla","Bovidae",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,"Ref_1","ABC",52.50008,"Ref_117","1",5194,"Bovidae","G","A",NA,1,1,1,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2482104,"aepypodius_arfakianus","ACCEPTED","Galliformes","Megapodiidae",NA,NA,NA,NA,1,1,0,0,0,0,0,1,0,1,0,"Ref_2","A",1.4638,"Dunning08","1",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,196,"Nonpasseriformes","Galliformes","Megapodiidae","Megapodes",7,"BL3","Wattled Brush-turkey","Jennifer",0,0,100,0,0,0,0,0,"Ref_2",1,"Jessica",NA,NA
2482103,"aepypodius_bruijnii","ACCEPTED","Galliformes","Megapodiidae",NA,NA,NA,NA,1,1,0,0,0,0,0,1,0,1,0,"Ref_2","D1",0.192,"GenAvg","0",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,197,"Nonpasseriformes","Galliformes","Megapodiidae","Megapodes",7,"BL3","Bruijn's Brush-turkey","Jennifer",0,0,100,0,0,0,0,0,"Genus",0,"Walter",NA,NA
