Feed,Classification,Infraclass,Overorder,Without_Rang,Order,Underorder,Overfamily,Family,Extra,PanTheria,Source,DOI,Species,Species_lat,Difference,Food/Nutrition,Body_mass,Food_intake_in_dry_matter_per_day_in_gm,DM_dry_matter_diet,OM_organic_material_diet,CP_Crude_Protein_diet,EE_Ether_Extract_diet,NDF_diet,CF_Crude_Fibre_diet,CA_Crude_Ash_diet,N_Nitrogen_diet,Ca_diet,P_diet,Na_diet,K_diet,Mg_diet,dDM,dOM,dCP,dEE,dNDF,dCF,dCA,DM_ad,OM_ad,CP_ad,EE_ad,NDF_ad,CF_ad,CA_ad,Ca_ad,P_ad,Na_ad,K_ad,Mg_ad,Source
Carnivore,2_2_1_1_4,2,2,,1,,1,4,,,Ahlstrom & Skrede (1998),,Nerz,Mustela vison,,Carnivore,,,,,29.95,14.88,,,,,,,,,,,,22.54,13.85,,,,,,75.27,93.03,,,,,,,,,Ahlstrom & Skrede (1998)
Carnivore,2_2_1_1_4,2,2,,1,,1,4,,,Allen et al. (1964),,Nerz,Mustela vison,,Carnivore,,,,,15.3,,,,,,,,,,,,,8.87,,,,,,,58,,,,,,,,,,Allen et al. (1964)
Carnivore,2_2_1_1_4,2,2,,1,,1,4,,,Allen et al. (1964),,Nerz,Mustela vison,,Carnivore,,,,,15.7,,,,,,,,,,,,,6.12,,,,,,,39,,,,,,,,,,Allen et al. (1964)
Carnivore,2_2_1_1_4,2,2,,1,,1,4,,,Allen et al. (1964),,Nerz,Mustela vison,,Carnivore,,,,,16.2,,,,,,,,,,,,,10.21,,,,,,,63,,,,,,,,,,Allen et al. (1964)
Carnivore,2_2_1_1_4,2,2,,1,,1,4,,,Allen et al. (1964),,Nerz,Mustela vison,,Carnivore,,,,,21.8,,,,,,,,,,,,,15.7,,,,,,,72,,,,,,,,,,Allen et al. (1964)
Carnivore,2_2_1_1_4,2,2,,1,,1,4,,,Allen et al. (1964),,Nerz,Mustela vison,,Carnivore,,,,,20.8,,,,,,,,,,,,,14.56,,,,,,,70,,,,,,,,,,Allen et al. (1964)
Carnivore,2_2_1_1_4,2,2,,1,,1,4,,,Allen et al. (1964),,Nerz,Mustela vison,,Carnivore,,,,,23,,,,,,,,,,,,,14.72,,,,,,,64,,,,,,,,,,Allen et al. (1964)
Carnivore,2_2_1_1_4,2,2,,1,,1,4,,,Allen et al. (1964),,Nerz,Mustela vison,,Carnivore,,,,,26.5,,,,,,,,,,,,,20.94,,,,,,,79,,,,,,,,,,Allen et al. (1964)
Carnivore,2_2_1_1_4,2,2,,1,,1,4,,,Allen et al. (1964),,Nerz,Mustela vison,,Carnivore,,,,,27.2,,,,,,,,,,,,,21.22,,,,,,,78,,,,,,,,,,Allen et al. (1964)
Carnivore,2_2_1_1_4,2,2,,1,,1,4,,,Allen et al. (1964),,Nerz,Mustela vison,,Carnivore,,,,,29.1,,,,,,,,,,,,,22.7,,,,,,,78,,,,,,,,,,Allen et al. (1964)
Carnivore,2_2_1_1_4,2,2,,1,,1,4,,,Allen et al. (1964),,Nerz,Mustela vison,,Carnivore,,,,,27,,,,,,,,,,,,,21.87,,,,,,,81,,,,,,,,,,Allen et al. (1964)
Carnivore,2_2_1_1_4,2,2,,1,,1,4,,,Allen et al. (1964),,Nerz,Mustela vison,,Carnivore,,,,,37,,,,,,,,,,,,,29.6,,,,,,,80,,,,,,,,,,Allen et al. (1964)
Carnivore,2_2_1_1_4,2,2,,1,,1,4,,,Allen et al. (1964),,Nerz,Mustela vison,,Carnivore,,,,,15.3,,,,,,,,,,,,,9.79,,,,,,,64,,,,,,,,,,Allen et al. (1964)
Carnivore,2_2_1_1_4,2,2,,1,,1,4,,,Allen et al. (1964),,Nerz,Mustela vison,,Carnivore,,,,,21.8,,,,,,,,,,,,,16.79,,,,,,,77,,,,,,,,,,Allen et al. (1964)
Carnivore,2_2_1_1_4,2,2,,1,,1,4,,,Allen et al. (1964),,Nerz,Mustela vison,,Carnivore,,,,,20.8,,,,,,,,,,,,,16.02,,,,,,,77,,,,,,,,,,Allen et al. (1964)
Carnivore,2_2_1_1_4,2,2,,1,,1,4,,,Allen et al. (1964),,Nerz,Mustela vison,,Carnivore,,,,,23,,,,,,,,,,,,,17.25,,,,,,,75,,,,,,,,,,Allen et al. (1964)
Carnivore,2_2_1_1_4,2,2,,1,,1,4,,,Allen et al. (1964),,Nerz,Mustela vison,,Carnivore,,,,,26.5,,,,,,,,,,,,,21.2,,,,,,,80,,,,,,,,,,Allen et al. (1964)
Carnivore,2_2_1_1_4,2,2,,1,,1,4,,,Allen et al. (1964),,Nerz,Mustela vison,,Carnivore,,,,,27.2,,,,,,,,,,,,,21.22,,,,,,,78,,,,,,,,,,Allen et al. (1964)
Carnivore,2_2_1_1_4,2,2,,1,,1,4,,,Allen et al. (1964),,Nerz,Mustela vison,,Carnivore,,,,,29.1,,,,,,,,,,,,,23.86,,,,,,,82,,,,,,,,,,Allen et al. (1964)
Carnivore,2_2_1_1_4,2,2,,1,,1,4,,,Allen et al. (1964),,Nerz,Mustela vison,,Carnivore,,,,,27,,,,,,,,,,,,,22.14,,,,,,,82,,,,,,,,,,Allen et al. (1964)
Carnivore,2_2_1_1_4,2,2,,1,,1,4,,,Allen et al. (1964),,Nerz,Mustela vison,,Carnivore,,,,,37,,,,,,,,,,,,,28.86,,,,,,,78,,,,,,,,,,Allen et al. (1964)
Carnivore,2_2_1_1_4,2,2,,1,,1,4,,,Allen et al. (1964),,Nerz,Mustela vison,,Carnivore,,,,,15.3,,,,,,,,,,,,,7.96,,,,,,,52,,,,,,,,,,Allen et al. (1964)
Carnivore,2_2_1_1_4,2,2,,1,,1,4,,,Allen et al. (1964),,Nerz,Mustela vison,,Carnivore,,,,,15.7,,,,,,,,,,,,,9.11,,,,,,,58,,,,,,,,,,Allen et al. (1964)
Carnivore,2_2_1_1_4,2,2,,1,,1,4,,,Allen et al. (1964),,Nerz,Mustela vison,,Carnivore,,,,,21.8,,,,,,,,,,,,,15.26,,,,,,,70,,,,,,,,,,Allen et al. (1964)
Carnivore,2_2_1_1_4,2,2,,1,,1,4,,,Allen et al. (1964),,Nerz,Mustela vison,,Carnivore,,,,,20.8,,,,,,,,,,,,,13.52,,,,,,,65,,,,,,,,,,Allen et al. (1964)
Carnivore,2_2_1_1_4,2,2,,1,,1,4,,,Allen et al. (1964),,Nerz,Mustela vison,,Carnivore,,,,,23,,,,,,,,,,,,,14.26,,,,,,,62,,,,,,,,,,Allen et al. (1964)
Carnivore,2_2_1_1_4,2,2,,1,,1,4,,,Allen et al. (1964),,Nerz,Mustela vison,,Carnivore,,,,,26.5,,,,,,,,,,,,,19.61,,,,,,,74,,,,,,,,,,Allen et al. (1964)
Carnivore,2_2_1_1_4,2,2,,1,,1,4,,,Allen et al. (1964),,Nerz,Mustela vison,,Carnivore,,,,,27.2,,,,,,,,,,,,,19.86,,,,,,,73,,,,,,,,,,Allen et al. (1964)
Carnivore,2_2_1_1_4,2,2,,1,,1,4,,,Allen et al. (1964),,Nerz,Mustela vison,,Carnivore,,,,,29.1,,,,,,,,,,,,,20.08,,,,,,,69,,,,,,,,,,Allen et al. (1964)
Carnivore,2_2_1_1_4,2,2,,1,,1,4,,,Allen et al. (1964),,Nerz,Mustela vison,,Carnivore,,,,,27,,,,,,,,,,,,,19.98,,,,,,,74,,,,,,,,,,Allen et al. (1964)
Carnivore,2_2_1_1_4,2,2,,1,,1,4,,,Allen et al. (1964),,Nerz,Mustela vison,,Carnivore,,,,,37,,,,,,,,,,,,,27.38,,,,,,,74,,,,,,,,,,Allen et al. (1964)
Carnivore,2_2_1_1_4,2,2,,1,,1,4,,,Allen et al. (1964),,Nerz,Mustela vison,,Carnivore,,,,,15.3,,,,,,,,,,,,,8.42,,,,,,,55,,,,,,,,,,Allen et al. (1964)
Carnivore,2_2_1_1_4,2,2,,1,,1,4,,,Allen et al. (1964),,Nerz,Mustela vison,,Carnivore,,,,,15.7,,,,,,,,,,,,,9.73,,,,,,,62,,,,,,,,,,Allen et al. (1964)
