Species;C (mg/g);N (mg/g);P (mg/g);date;day;month;year;data;location;period;feces_ID
Wildebeest;369.7;8.78;5.85;lundi 31 juillet 2006;31;7;2006;DDE3;SA;dry;119
Wildebeest;379.1;9.50;6.67;lundi 31 juillet 2006;31;7;2006;DDE3;SA;dry;120
Bushbuck;;21.71;5.59;Begin of November 2009;NA;10;2009;NA3;MK;wet;121
Bushbuck;;20.60;4.95;Begin of November 2009;NA;10;2009;NA3;MK;wet;122
Bushbuck;;20.43;3.00;Begin of November 2009;NA;10;2009;NA3;MK;wet;123
Bushbuck;;25.18;6.11;Begin of November 2009;NA;10;2009;NA3;MK;wet;124
Bushbuck;;25.35;4.63;Begin of November 2009;NA;10;2009;NA3;MK;wet;125
Giraffe;;29.94;3.56;Begin of November 2009;NA;10;2009;NA3;MK;wet;126
Giraffe;;29.98;3.03;Begin of November 2009;NA;10;2009;NA3;MK;wet;127
Giraffe;;32.90;2.31;Begin of November 2009;NA;10;2009;NA3;MK;wet;128
Giraffe;;29.60;4.65;Begin of November 2009;NA;10;2009;NA3;MK;wet;129
Hare;;17.16;1.78;Begin of November 2009;NA;10;2009;NA3;MK;wet;130
Hare;;22.30;2.64;Begin of November 2009;NA;10;2009;NA3;MK;wet;131
Hare;;17.02;1.13;Begin of November 2009;NA;10;2009;NA3;MK;wet;132
Rat;;6.33;0.40;Begin of November 2009;NA;10;2009;NA3;MK;wet;133
Rat;;4.88;0.31;Begin of November 2009;NA;10;2009;NA3;MK;wet;134
Reedbuck;;12.70;2.30;Begin of November 2009;NA;10;2009;NA3;MK;wet;135
Reedbuck;;14.04;2.45;Begin of November 2009;NA;10;2009;NA3;MK;wet;136
Reedbuck;;14.59;2.18;Begin of November 2009;NA;10;2009;NA3;MK;wet;137
Reedbuck;;21.90;3.14;Begin of November 2009;NA;10;2009;NA3;MK;wet;138
Warthog;;18.68;2.47;Begin of November 2009;NA;10;2009;NA3;MK;wet;139
Warthog;;8.49;1.47;Begin of November 2009;NA;10;2009;NA3;MK;wet;140
Warthog;;12.87;1.51;Begin of November 2009;NA;10;2009;NA3;MK;wet;141
Warthog;;18.87;2.88;Begin of November 2009;NA;10;2009;NA3;MK;wet;142
Warthog;;18.62;2.23;Begin of November 2009;NA;10;2009;NA3;MK;wet;143
Warthog;;30.72;5.68;Begin of November 2009;NA;10;2009;NA3;MK;wet;144
Warthog;;15.18;2.04;Begin of November 2009;NA;10;2009;NA3;MK;wet;145
Warthog;;20.38;1.84;Begin of November 2009;NA;10;2009;NA3;MK;wet;146
Waterbuck;;16.12;2.09;Begin of November 2009;NA;10;2009;NA3;MK;wet;147
Waterbuck;;14.80;1.93;Begin of November 2009;NA;10;2009;NA3;MK;wet;148
Waterbuck;;35.59;2.98;Begin of November 2009;NA;10;2009;NA3;MK;wet;149
Waterbuck;;15.90;2.18;Begin of November 2009;NA;10;2009;NA3;MK;wet;150
Waterbuck;;18.21;2.88;Begin of November 2009;NA;10;2009;NA3;MK;wet;151
Waterbuck;;17.98;2.92;Begin of November 2009;NA;10;2009;NA3;MK;wet;152
Buffalo;142.0;5.33;7.24;End of July 2009;NA;7;2009;NA1;;dry;153
Buffalo;339.0;12.50;3.32;End of July 2009;NA;7;2009;NA1;;dry;154
Buffalo;327.0;13.00;1.46;End of July 2009;NA;7;2009;NA1;;dry;155
Buffalo;274.8;8.15;3.29;End of July 2009;NA;7;2009;NA1;;dry;156
Bushbuck;449.0;22.20;3.81;End of July 2009;NA;7;2009;NA1;;dry;157
Bushbuck;461.9;25.73;2.77;End of July 2009;NA;7;2009;NA1;;dry;158
Bushbuck;403.0;19.42;1.75;End of July 2009;NA;7;2009;NA1;;dry;159
Bushbuck;388.0;11.30;2.63;End of July 2009;NA;7;2009;NA1;;dry;160
Bushbuck;363.0;11.30;2.24;End of July 2009;NA;7;2009;NA1;;dry;161
