"","Species","date","day","month","year","data","location","period","feces_ID","component_name","component_mean"
"205","Waterbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",72,"N",16.35
"206","Waterbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",72,"P",3.34
"207","Waterbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",73,"C",362.3
"208","Waterbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",73,"N",20.75
"209","Waterbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",73,"P",2.78
"210","Waterbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",74,"C",380.7
"211","Waterbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",74,"N",15.93
"212","Waterbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",74,"P",3.78
"213","Waterbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",75,"C",377.2
"214","Waterbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",75,"N",16.71
"215","Waterbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",75,"P",3
"216","Waterbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",76,"C",379.9
"217","Waterbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",76,"N",15.23
"218","Waterbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",76,"P",3.62
"219","Waterbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",77,"C",384.3
"220","Waterbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",77,"N",16.91
"221","Waterbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",77,"P",2.61
"222","Waterbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",78,"C",379.6
"223","Waterbuck","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",78,"N",17.1
