Visibility,Source ID,Locality ID,Traits ID,Genus,Species,Morphospecies,Contributor,Latitude,Longitude,Caste,N,Head width across eyes (mm),Head length (mm),Clypeus length (mm),Mandible length (mm),Hind femur length (mm),Scape length (mm),Weber's length (mm),Pronotum width (mm),Inter-ocular width (mm),Max eye width (mm),Whole body length (mm),Sculpturing,Pilosity (#),Number of Spines (#),Dominant colour head (Fig. 16),Dominant colour mesosoma (Fig. 16),Dominant colour gaster (Fig. 16),Polymorphism,Queen number,Worker number (#),Colony type,Colony founding,Nest Site,Activity,Diet,Notes
Public,Staab_etal_2014,,Staab_etal_2014_traits_44,Tetramorium,smithii,False,"Staab, Michael",29.0775,117.9222222,Worker,1,0.5035,0.551,Not in paper,0.285,0.399,0.3515,0.608,Not in paper,Not in paper,0.133,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,"traits are not analyzed in the paper, head width is meassured ABOVE the eyes"
Public,Staab_etal_2014,Staab_etal_2014_11,Staab_etal_2014_11_traits_6,Tetramorium,sp.8,True,"Staab, Michael",29.27383,118.13647,Worker,1,0.589,0.6555,Not in paper,0.3325,0.5415,0.475,0.779,Not in paper,Not in paper,0.1235,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,"traits are not analyzed in the paper, head width is meassured ABOVE the eyes"
Public,Staab_etal_2014,Staab_etal_2014_11,Staab_etal_2014_11_traits_7,Tetramorium,sp.8,True,"Staab, Michael",29.27383,118.13647,Worker,1,0.589,0.646,Not in paper,0.3515,0.494,0.4845,0.7885,Not in paper,Not in paper,0.1235,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,"traits are not analyzed in the paper, head width is meassured ABOVE the eyes"
Public,Staab_etal_2014,Staab_etal_2014_15,Staab_etal_2014_15_traits_11,Tetramorium,sp.8,True,"Staab, Michael",29.24917,118.13106,Worker,1,0.57,0.646,Not in paper,0.3325,0.4465,0.4655,0.76,Not in paper,Not in paper,0.1235,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,"traits are not analyzed in the paper, head width is meassured ABOVE the eyes"
Public,Staab_etal_2014,Staab_etal_2014_17,Staab_etal_2014_17_traits_7,Tetramorium,wroughtonii,False,"Staab, Michael",29.24342,118.10828,Worker,1,0.665,0.7125,Not in paper,0.418,0.7125,0.57,0.779,Not in paper,Not in paper,0.1235,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,"traits are not analyzed in the paper, head width is meassured ABOVE the eyes"
Public,Staab_etal_2014,Staab_etal_2014_17,Staab_etal_2014_17_traits_8,Tetramorium,wroughtonii,False,"Staab, Michael",29.24342,118.10828,Worker,1,0.684,0.7695,Not in paper,0.3705,0.684,0.5795,0.722,Not in paper,Not in paper,0.133,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,"traits are not analyzed in the paper, head width is meassured ABOVE the eyes"
Public,Staab_etal_2014,Staab_etal_2014_17,Staab_etal_2014_17_traits_9,Tetramorium,wroughtonii,False,"Staab, Michael",29.24342,118.10828,Worker,1,0.703,0.76,Not in paper,0.4275,0.6745,0.5605,0.836,Not in paper,Not in paper,0.114,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,"traits are not analyzed in the paper, head width is meassured ABOVE the eyes"
Public,Staab_etal_2014,Staab_etal_2014_17,Staab_etal_2014_17_traits_10,Tetramorium,wroughtonii,False,"Staab, Michael",29.24342,118.10828,Worker,1,0.703,0.7505,Not in paper,0.418,0.722,0.551,0.836,Not in paper,Not in paper,0.152,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,"traits are not analyzed in the paper, head width is meassured ABOVE the eyes"
Public,Staab_etal_2014,Staab_etal_2014_17,Staab_etal_2014_17_traits_11,Tetramorium,wroughtonii,False,"Staab, Michael",29.24342,118.10828,Worker,1,0.6745,0.7505,Not in paper,0.4275,0.665,0.589,0.779,Not in paper,Not in paper,0.1235,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,"traits are not analyzed in the paper, head width is meassured ABOVE the eyes"
Public,Staab_etal_2014,Staab_etal_2014_17,Staab_etal_2014_17_traits_12,Tetramorium,wroughtonii,False,"Staab, Michael",29.24342,118.10828,Worker,1,0.6745,0.7505,Not in paper,0.399,0.722,0.5795,0.8075,Not in paper,Not in paper,0.1425,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,"traits are not analyzed in the paper, head width is meassured ABOVE the eyes"
Public,Staab_etal_2014,Staab_etal_2014_01,Staab_etal_2014_01_traits_12,Tetraponera,allaborans,False,"Staab, Michael",29.23957,118.11587,Worker,1,0.665,0.7505,Not in paper,0.266,0.589,0.399,1.121,Not in paper,Not in paper,0.247,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,"traits are not analyzed in the paper, head width is meassured ABOVE the eyes"
Public,Staab_etal_2014,Staab_etal_2014_23,Staab_etal_2014_23_traits_17,Tetraponera,allaborans,False,"Staab, Michael",29.2145,118.13723,Worker,1,0.6555,0.741,Not in paper,0.342,0.665,0.437,1.18,Not in paper,Not in paper,0.2755,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,"traits are not analyzed in the paper, head width is meassured ABOVE the eyes"
Public,Staab_etal_2014,Staab_etal_2014_23,Staab_etal_2014_23_traits_18,Tetraponera,allaborans,False,"Staab, Michael",29.2145,118.13723,Worker,1,0.6935,0.7788,Not in paper,0.266,0.665,0.399,1.18,Not in paper,Not in paper,0.2755,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,"traits are not analyzed in the paper, head width is meassured ABOVE the eyes"
Public,Staab_etal_2014,Staab_etal_2014_24,Staab_etal_2014_24_traits_11,Tetraponera,allaborans,False,"Staab, Michael",29.21483,118.13469,Worker,1,0.665,0.8075,Not in paper,0.285,0.6175,0.4845,1.35,Not in paper,Not in paper,0.3135,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,"traits are not analyzed in the paper, head width is meassured ABOVE the eyes"
Public,Staab_etal_2014,,Staab_etal_2014_traits_45,Tetraponera,allaborans,False,"Staab, Michael",29.1252778,117.9097222,Worker,1,0.817,0.855,Not in paper,0.361,0.798,0.437,1.5,Not in paper,Not in paper,0.342,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,"traits are not analyzed in the paper, head width is meassured ABOVE the eyes"
Public,Staab_etal_2014,,Staab_etal_2014_traits_46,Tetraponera,convexa,False,"Staab, Michael",29.1252778,117.7572222,Worker,1,0.855,0.874,Not in paper,0.418,0.912,0.494,1.52,Not in paper,Not in paper,0.3515,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,"traits are not analyzed in the paper, head width is meassured ABOVE the eyes"
Public,Staab_etal_2014,,Staab_etal_2014_traits_47,Tetraponera,convexa,False,"Staab, Michael",29.12297382,117.9082869,Worker,1,0.836,0.95,Not in paper,0.323,0.836,0.475,0.9912,Not in paper,Not in paper,0.342,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,"traits are not analyzed in the paper, head width is meassured ABOVE the eyes"
Public,Staab_etal_2014,Staab_etal_2014_13,Staab_etal_2014_13_traits_9,Tetraponera,convexa,False,"Staab, Michael",29.2463,118.11621,Worker,1,0.874,0.912,Not in paper,0.304,0.912,0.532,1.596,Not in paper,Not in paper,0.342,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,"traits are not analyzed in the paper, head width is meassured ABOVE the eyes"
Public,Staab_etal_2014,Staab_etal_2014_02,Staab_etal_2014_02_traits_10,Tetraponera,convexa,False,"Staab, Michael",29.24926,118.13484,Worker,1,0.8455,0.931,Not in paper,0.247,0.798,0.532,1.5,Not in paper,Not in paper,0.342,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,"traits are not analyzed in the paper, head width is meassured ABOVE the eyes"
Public,Staab_etal_2014,,Staab_etal_2014_traits_48,Tetraponera,convexa,False,"Staab, Michael",29.0869444,117.9283333,Worker,1,0.836,0.931,Not in paper,0.38,0.817,0.5225,1.615,Not in paper,Not in paper,0.3325,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,"traits are not analyzed in the paper, head width is meassured ABOVE the eyes"
Public,Vasconcelos&Pacheco_noyear,Vasconcelos&Pacheco_noyear_01,Vasconcelos&Pacheco_noyear_01_traits_0,Apterostigma,sp.01,True,Heraldo L. Vasconcelos & Renata Pacheco,-15.95797267,-47.92049733,Worker,6,0.85,0.89,0.28,0.54,1.11,0.8,1.27,0.57,0.66,0.13,Not in paper,Not in paper,55,0,19,19,20,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Vasconcelos&Pacheco_noyear,Vasconcelos&Pacheco_noyear_01,Vasconcelos&Pacheco_noyear_01_traits_1,Atta,laevigata,False,Heraldo L. Vasconcelos & Renata Pacheco,-15.95797267,-47.92049733,Worker,5,2.83,2.44,0.57,1.825,4.59,2.68,3.22,1.63,2.385,0.29,Not in paper,Not in paper,42,6,21,22,22,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Vasconcelos&Pacheco_noyear,Vasconcelos&Pacheco_noyear_01,Vasconcelos&Pacheco_noyear_01_traits_2,Azteca,sp.02,True,Heraldo L. Vasconcelos & Renata Pacheco,-15.95797267,-47.92049733,Worker,10,0.99,1.06,0.33,0.46,1.23,0.93,1.28,0.64,0.68,0.14,Not in paper,Not in paper,38,0,20,21,21,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Vasconcelos&Pacheco_noyear,Vasconcelos&Pacheco_noyear_01,Vasconcelos&Pacheco_noyear_01_traits_3,Blepharidatta,conops,False,Heraldo L. Vasconcelos & Renata Pacheco,-15.95797267,-47.92049733,Worker,6,0.89,1.01,0.26,0.44,0.93,0.76,1.1,0.63,0.69,0.13,Not in paper,Not in paper,40,2,24,24,20,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Vasconcelos&Pacheco_noyear,Vasconcelos&Pacheco_noyear_01,Vasconcelos&Pacheco_noyear_01_traits_4,Brachymyrmex,coactus,False,Heraldo L. Vasconcelos & Renata Pacheco,-15.95797267,-47.92049733,Worker,1,0.52,0.58,0.18,0.3,0.6,0.54,0.62,0.36,0.4,0.1,Not in paper,Not in paper,6,0,20,20,21,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Vasconcelos&Pacheco_noyear,Vasconcelos&Pacheco_noyear_01,Vasconcelos&Pacheco_noyear_01_traits_5,Brachymyrmex,sp.01,True,Heraldo L. Vasconcelos & Renata Pacheco,-15.95797267,-47.92049733,Worker,6,0.36,0.41,0.13,0.18,0.35,0.38,0.35,0.22,0.29,0.08,Not in paper,Not in paper,4,0,20,20,20,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Vasconcelos&Pacheco_noyear,Vasconcelos&Pacheco_noyear_01,Vasconcelos&Pacheco_noyear_01_traits_6,Brachymyrmex,sp.02,True,Heraldo L. Vasconcelos & Renata Pacheco,-15.95797267,-47.92049733,Worker,2,0.34,0.4,0.15,0.17,0.34,0.37,0.35,0.22,0.25,0.08,Not in paper,Not in paper,3,0,16,16,16,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Vasconcelos&Pacheco_noyear,Vasconcelos&Pacheco_noyear_01,Vasconcelos&Pacheco_noyear_01_traits_7,Brachymyrmex,sp.03,True,Heraldo L. Vasconcelos & Renata Pacheco,-15.95797267,-47.92049733,Worker,2,0.4625,0.49375,0.14375,0.25625,0.49375,0.4875,0.5,0.30625,0.35625,0.09375,Not in paper,Not in paper,5,0,18,18,19,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Vasconcelos&Pacheco_noyear,Vasconcelos&Pacheco_noyear_01,Vasconcelos&Pacheco_noyear_01_traits_8,Brachymyrmex,sp.05,True,Heraldo L. Vasconcelos & Renata Pacheco,-15.95797267,-47.92049733,Worker,6,0.46,0.49,0.16,0.24,0.49,0.47,0.48,0.32,0.35,0.1,Not in paper,Not in paper,4,0,22,22,22,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Vasconcelos&Pacheco_noyear,Vasconcelos&Pacheco_noyear_01,Vasconcelos&Pacheco_noyear_01_traits_9,Brachymyrmex,sp.10,True,Heraldo L. Vasconcelos & Renata Pacheco,-15.95797267,-47.92049733,Worker,4,0.38125,0.446875,0.115625,0.15625,0.4,0.41875,0.39375,0.228125,0.28125,0.103125,Not in paper,Not in paper,4,0,16,16,16,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Vasconcelos&Pacheco_noyear,Vasconcelos&Pacheco_noyear_01,Vasconcelos&Pacheco_noyear_01_traits_10,Camponotus,atriceps,False,Heraldo L. Vasconcelos & Renata Pacheco,-15.95797267,-47.92049733,Worker,10,2.24,2.39,0.81,1.15,2.99,2.51,3.29,1.57,1.41,0.47,Not in paper,Not in paper,70,0,22,16,16,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Vasconcelos&Pacheco_noyear,Vasconcelos&Pacheco_noyear_01,Vasconcelos&Pacheco_noyear_01_traits_11,Camponotus,blandus,False,Heraldo L. Vasconcelos & Renata Pacheco,-15.95797267,-47.92049733,Worker,9,1.23,1.33,0.44,0.69,1.83,1.51,2.19,1.06,0.81,0.34,Not in paper,Not in paper,31,0,9,2,7,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Vasconcelos&Pacheco_noyear,Vasconcelos&Pacheco_noyear_01,Vasconcelos&Pacheco_noyear_01_traits_12,Camponotus,bonariensis,False,Heraldo L. Vasconcelos & Renata Pacheco,-15.95797267,-47.92049733,Worker,10,1.17,1.35,0.47,0.64,1.73,1.66,2.13,0.84,0.78,0.31,Not in paper,Not in paper,2,0,17,17,16,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Vasconcelos&Pacheco_noyear,Vasconcelos&Pacheco_noyear_01,Vasconcelos&Pacheco_noyear_01_traits_13,Camponotus,cingulatus,False,Heraldo L. Vasconcelos & Renata Pacheco,-15.95797267,-47.92049733,Worker,5,1.37,1.65,0.59,0.8,2.49,2.15,2.37,0.98,0.85,0.38,Not in paper,Not in paper,33,0,24,24,24,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Vasconcelos&Pacheco_noyear,Vasconcelos&Pacheco_noyear_01,Vasconcelos&Pacheco_noyear_01_traits_14,Camponotus,melanoticus,False,Heraldo L. Vasconcelos & Renata Pacheco,-15.95797267,-47.92049733,Worker,8,1.45,1.88,0.65,1.03,3.24,2.89,3.33,1.14,0.85,0.43,Not in paper,Not in paper,26,0,23,23,23,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Vasconcelos&Pacheco_noyear,Vasconcelos&Pacheco_noyear_01,Vasconcelos&Pacheco_noyear_01_traits_15,Camponotus,novogranadensis,False,Heraldo L. Vasconcelos & Renata Pacheco,-15.95797267,-47.92049733,Worker,6,1.02,1.11,0.35,0.54,1.22,1.16,1.48,0.87,0.7,0.25,Not in paper,Not in paper,28,0,1,1,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Vasconcelos&Pacheco_noyear,Vasconcelos&Pacheco_noyear_01,Vasconcelos&Pacheco_noyear_01_traits_16,Camponotus,rufipes,False,Heraldo L. Vasconcelos & Renata Pacheco,-15.95797267,-47.92049733,Worker,6,1.766666667,1.858333333,0.65,0.925,2.908333333,2.416666667,3.075,1.425,1.166666667,0.4,Not in paper,Not in paper,57,0,1,1,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Vasconcelos&Pacheco_noyear,Vasconcelos&Pacheco_noyear_01,Vasconcelos&Pacheco_noyear_01_traits_17,Camponotus,senex,False,Heraldo L. Vasconcelos & Renata Pacheco,-15.95797267,-47.92049733,Worker,12,1.22,1.18,0.42,0.6,1.56,1.47,1.62,1.04,0.77,0.31,Not in paper,Not in paper,78,0,1,1,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Vasconcelos&Pacheco_noyear,Vasconcelos&Pacheco_noyear_01,Vasconcelos&Pacheco_noyear_01_traits_18,Camponotus,sp.09,True,Heraldo L. Vasconcelos & Renata Pacheco,-15.95797267,-47.92049733,Worker,3,0.9,0.98,0.34,0.52,1.29,1.2,1.59,0.71,0.58,0.27,Not in paper,Not in paper,9,0,8,8,8,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Vasconcelos&Pacheco_noyear,Vasconcelos&Pacheco_noyear_01,Vasconcelos&Pacheco_noyear_01_traits_19,Camponotus,sp.10,True,Heraldo L. Vasconcelos & Renata Pacheco,-15.95797267,-47.92049733,Worker,5,1.13,1.1,0.41,0.61,1.52,1.44,1.7,0.97,0.76,0.28,Not in paper,Not in paper,57,0,1,1,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Vasconcelos&Pacheco_noyear,Vasconcelos&Pacheco_noyear_01,Vasconcelos&Pacheco_noyear_01_traits_20,Camponotus,sp.29,True,Heraldo L. Vasconcelos & Renata Pacheco,-15.95797267,-47.92049733,Worker,3,1.18,1.22,0.47,0.7,1.7,1.52,1.87,1.05,0.78,0.29,Not in paper,Not in paper,76,0,1,1,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Vasconcelos&Pacheco_noyear,Vasconcelos&Pacheco_noyear_01,Vasconcelos&Pacheco_noyear_01_traits_21,Camponotus,sp.35,True,Heraldo L. Vasconcelos & Renata Pacheco,-15.95797267,-47.92049733,Worker,3,1.17,1.27,0.54,0.78,2.47,2.18,2.62,0.9,0.69,0.38,Not in paper,Not in paper,21,0,21,19,21,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Vasconcelos&Pacheco_noyear,Vasconcelos&Pacheco_noyear_01,Vasconcelos&Pacheco_noyear_01_traits_22,Camponotus,sp. 42,True,Heraldo L. Vasconcelos & Renata Pacheco,-15.95797267,-47.92049733,Worker,3,1.18,1.44,0.48,0.68,1.55,1.32,1.98,0.87,0.83,0.31,Not in paper,Not in paper,27,0,1,1,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Vasconcelos&Pacheco_noyear,Vasconcelos&Pacheco_noyear_01,Vasconcelos&Pacheco_noyear_01_traits_23,Cephalotes,persimilis,False,Heraldo L. Vasconcelos & Renata Pacheco,-15.95797267,-47.92049733,Worker,6,1.07,0.95,0.23,0.3,0.53,0.43,0.96,0.64,0.79,0.19,Not in paper,Not in paper,0,0,19,19,19,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Vasconcelos&Pacheco_noyear,Vasconcelos&Pacheco_noyear_01,Vasconcelos&Pacheco_noyear_01_traits_24,Cephalotes,pusillus,False,Heraldo L. Vasconcelos & Renata Pacheco,-15.95797267,-47.92049733,Worker,4,1.63,1.13,0.27,0.41,0.91,0.66,1.27,0.83,1.23,0.28,Not in paper,Not in paper,1,2,1,1,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Vasconcelos&Pacheco_noyear,Vasconcelos&Pacheco_noyear_01,Vasconcelos&Pacheco_noyear_01_traits_25,Cephalotes,simillimus,False,Heraldo L. Vasconcelos & Renata Pacheco,-15.95797267,-47.92049733,Worker,2,1.53,1.09,0.25,0.38,0.81,0.58,1.19,0.79,1.23,0.34,Not in paper,Not in paper,0,2,1,1,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Vasconcelos&Pacheco_noyear,Vasconcelos&Pacheco_noyear_01,Vasconcelos&Pacheco_noyear_01_traits_26,Crematogaster,distans,False,Heraldo L. Vasconcelos & Renata Pacheco,-15.95797267,-47.92049733,Worker,1,0.78,0.74,0.28,0.4,Not in paper,0.18,0.94,0.48,0.64,0.14,Not in paper,Not in paper,2,2,21,22,22,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Vasconcelos&Pacheco_noyear,Vasconcelos&Pacheco_noyear_01,Vasconcelos&Pacheco_noyear_01_traits_27,Crematogaster,sp.prox. Obscurata,True,Heraldo L. Vasconcelos & Renata Pacheco,-15.95797267,-47.92049733,Worker,8,0.91,0.76,0.29,0.48,0.91,0.8,1.03,0.53,0.68,0.18,Not in paper,Not in paper,17,2,22,22,22,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Vasconcelos&Pacheco_noyear,Vasconcelos&Pacheco_noyear_01,Vasconcelos&Pacheco_noyear_01_traits_28,Crematogaster,sp.11,True,Heraldo L. Vasconcelos & Renata Pacheco,-15.95797267,-47.92049733,Worker,3,0.625,0.6,0.1875,0.325,0.475,0.4875,0.6,0.3875,0.5,0.1125,Not in paper,Not in paper,4,2,8,8,8,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Vasconcelos&Pacheco_noyear,Vasconcelos&Pacheco_noyear_01,Vasconcelos&Pacheco_noyear_01_traits_29,Cyphomyrmex,lectus,False,Heraldo L. Vasconcelos & Renata Pacheco,-15.95797267,-47.92049733,Worker,1,0.62,0.6,0.3,0.4,0.7,Not in paper,0.92,0.44,0.5,0.1,Not in paper,Not in paper,0,0,17,17,17,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Vasconcelos&Pacheco_noyear,Vasconcelos&Pacheco_noyear_01,Vasconcelos&Pacheco_noyear_01_traits_30,Cyphomyrmex,sp.20,True,Heraldo L. Vasconcelos & Renata Pacheco,-15.95797267,-47.92049733,Worker,6,0.68,0.67,0.25,0.39,0.85,0.67,0.97,0.42,0.5,0.13,Not in paper,Not in paper,0,0,18,18,20.5,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Vasconcelos&Pacheco_noyear,Vasconcelos&Pacheco_noyear_01,Vasconcelos&Pacheco_noyear_01_traits_31,Cyphomyrmex,sp. 24,True,Heraldo L. Vasconcelos & Renata Pacheco,-15.95797267,-47.92049733,Worker,1,0.54,0.54,0.38,0.34,0.52,0.44,0.68,0.3,0.44,0.1,Not in paper,Not in paper,0,0,22,22,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Vasconcelos&Pacheco_noyear,Vasconcelos&Pacheco_noyear_01,Vasconcelos&Pacheco_noyear_01_traits_32,Cyphomyrmex,transversus,False,Heraldo L. Vasconcelos & Renata Pacheco,-15.95797267,-47.92049733,Worker,6,0.61,0.61,0.3,0.33,0.68,0.57,0.83,0.4,0.46,0.12,Not in paper,Not in paper,0,0,20,20,20,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Vasconcelos&Pacheco_noyear,Vasconcelos&Pacheco_noyear_01,Vasconcelos&Pacheco_noyear_01_traits_33,Dinoponera,australis,False,Heraldo L. Vasconcelos & Renata Pacheco,-15.95797267,-47.92049733,Worker,6,4.783333333,4.85,1.8,3.916666667,6.266666667,4.75,7.216666667,3.133333333,3.3,0.833333333,Not in paper,Not in paper,43,0,1,1,1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Vasconcelos&Pacheco_noyear,Vasconcelos&Pacheco_noyear_01,Vasconcelos&Pacheco_noyear_01_traits_34,Dorymyrmex,brunneus,False,Heraldo L. Vasconcelos & Renata Pacheco,-15.95797267,-47.92049733,Worker,4,0.65,0.7,0.2,0.39,0.93,0.77,0.95,0.44,0.34,0.18,Not in paper,Not in paper,7,0,23,23,23,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
Public,Vasconcelos&Pacheco_noyear,Vasconcelos&Pacheco_noyear_01,Vasconcelos&Pacheco_noyear_01_traits_35,Ectatomma,edentatum,False,Heraldo L. Vasconcelos & Renata Pacheco,-15.95797267,-47.92049733,Worker,4,1.61,1.71,0.64,1.2,2.28,1.71,2.81,1.18,1.21,0.29,Not in paper,Not in paper,29,0,22,22,22,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper
